"","Player","team_name_college","true_shooting_pct_college","effective_field_goal_pct_college","total_shooting_pct_college","off_reb_rate_college","def_reb_rate_college","tot_reb_rate_college","assist_rate_college","turnover_rate_college","steal_rate_college","block_rate_college","usage_rate_college","pure_point_rating_college","points_per_shot_college","off_rating_college","def_rating_college","net_rating_college","floor_impact_counter_college","PER_college","position_NBA_1","age_NBA_1","team_name_NBA_1","games_played_NBA_1","minutes_played_NBA_1","PER_NBA_1","true_shooting_pct_NBA_1","three_pt_att_rate_NBA_1","free_throw_rate_NBA_1","off_reb_rate_NBA_1","def_reb_rate_NBA_1","tot_reb_rate_NBA_1","assist_rate_NBA_1","steal_rate_NBA_1","block_rate_NBA_1","turnover_rate_NBA_1","usage_rate_NBA_1","off_win_shares_NBA_1","def_win_shares_NBA_1","win_shares_NBA_1","win_shares_per_48_NBA_1","off_BPM_NBA_1","def_BPM_NBA_1","BPM_NBA_1","VORP_NBA_1","position_NBA_2","age_NBA_2","team_name_NBA_2","games_played_NBA_2","minutes_played_NBA_2","PER_NBA_2","true_shooting_pct_NBA_2","three_pt_att_rate_NBA_2","free_throw_rate_NBA_2","off_reb_rate_NBA_2","def_reb_rate_NBA_2","tot_reb_rate_NBA_2","assist_rate_NBA_2","steal_rate_NBA_2","block_rate_NBA_2","turnover_rate_NBA_2","usage_rate_NBA_2","off_win_shares_NBA_2","def_win_shares_NBA_2","win_shares_NBA_2","win_shares_per_48_NBA_2","off_BPM_NBA_2","def_BPM_NBA_2","BPM_NBA_2","VORP_NBA_2","position_NBA_3","age_NBA_3","team_name_NBA_3","games_played_NBA_3","minutes_played_NBA_3","PER_NBA_3","true_shooting_pct_NBA_3","three_pt_att_rate_NBA_3","free_throw_rate_NBA_3","off_reb_rate_NBA_3","def_reb_rate_NBA_3","tot_reb_rate_NBA_3","assist_rate_NBA_3","steal_rate_NBA_3","block_rate_NBA_3","turnover_rate_NBA_3","usage_rate_NBA_3","off_win_shares_NBA_3","def_win_shares_NBA_3","win_shares_NBA_3","win_shares_per_48_NBA_3","off_BPM_NBA_3","def_BPM_NBA_3","BPM_NBA_3","VORP_NBA_3"
"1","Aaron Gordon","U of A",0.504,0.517,127.4,0.103,0.193,0.149,0.13,0.105,0.018,0.034,0.231,-0.4,1.2,109,87.7,21.3,416.5,19.4,"PF",19,"ORL",47,797,11.4,0.517,0.231,0.293,0.064,0.178,0.12,0.063,0.013,0.022,0.139,0.155,0.3,0.7,1,0.06,-2.8,0,-2.8,-0.2,"PF",20,"ORL",78,1863,17,0.541,0.245,0.333,0.09,0.213,0.151,0.103,0.016,0.024,0.09,0.173,3.2,2.2,5.4,0.139,0.6,1.2,1.8,1.8,"SF",21,"ORL",80,2298,14.5,0.53,0.309,0.251,0.053,0.141,0.096,0.105,0.014,0.014,0.085,0.201,2,1.7,3.7,0.077,-0.2,-0.4,-0.7,0.8
"2","Adreian Payne","MSU",0.605,0.563,171,0.069,0.225,0.151,0.098,0.13,0.01,0.038,0.287,-4.1,1.4,116.9,96.4,20.5,352.8,23.6,"PF",23,"MIN",29,720,7.8,0.448,0.038,0.207,0.072,0.182,0.125,0.066,0.013,0.01,0.159,0.169,-0.6,0.2,-0.5,-0.033,-4.5,-1.2,-5.7,-0.7,"PF",24,"MIN",52,486,5.6,0.422,0.221,0.179,0.048,0.215,0.133,0.089,0.017,0.018,0.187,0.177,-0.9,0.4,-0.5,-0.047,-5.9,-0.2,-6.1,-0.5,"PF",25,"MIN",18,135,14.4,0.505,0.278,0.352,0.077,0.21,0.143,0.08,0.03,0.044,0.114,0.231,0,0.2,0.2,0.086,-2.2,0.7,-1.5,0
"5","Andrew Wiggins","KU",0.563,0.499,156.4,0.084,0.122,0.105,0.092,0.131,0.021,0.031,0.263,-3.7,1.4,116,101.6,14.4,370.1,20.2,"SF",19,"MIN",82,2969,13.9,0.517,0.111,0.41,0.05,0.095,0.072,0.098,0.015,0.013,0.117,0.226,2.1,0,2.1,0.034,-0.5,-1.8,-2.3,-0.2,"SF",20,"MIN",81,2845,16.5,0.543,0.147,0.437,0.043,0.075,0.059,0.101,0.014,0.013,0.106,0.272,3.4,0.7,4.1,0.069,0.4,-2.5,-2.1,-0.1,"SF",21,"MIN",82,3048,16.5,0.534,0.184,0.345,0.038,0.088,0.063,0.106,0.014,0.008,0.094,0.29,3.3,0.9,4.2,0.066,0.2,-2.9,-2.7,-0.6
"6","C.J. Wilcox","UW",0.598,0.556,171.7,0.023,0.105,0.064,0.154,0.099,0.017,0.028,0.246,0,1.3,122.1,108.5,13.5,364.8,20.8,"SG",24,"LAC",21,101,8.5,0.527,0.5,0.053,0.011,0.065,0.039,0.12,0.015,0.008,0.205,0.218,-0.1,0.1,0,-0.024,-3.3,-2.7,-6,-0.1,"SG",25,"LAC",23,167,12.9,0.491,0.348,0.182,0.007,0.071,0.039,0.094,0.03,0.009,0.027,0.198,0.1,0.2,0.3,0.089,-1.5,-0.9,-2.4,0,"SG",26,"ORL",22,108,2.9,0.329,0.484,0.065,0.039,0.083,0.061,0.155,0.009,0.007,0.158,0.154,-0.2,0,-0.2,-0.09,-6.5,-2.1,-8.6,-0.2
"7","Doug McDermott","CU",0.644,0.603,183.9,0.064,0.178,0.126,0.115,0.079,0.004,0.005,0.362,-2.2,1.5,127.3,104.9,22.4,556.2,31,"SF",23,"CHI",36,321,6.1,0.48,0.383,0.14,0.021,0.122,0.073,0.03,0.006,0.002,0.13,0.183,-0.3,0.2,0,-0.005,-4.8,-3.3,-8,-0.5,"SF",24,"CHI",81,1861,10.9,0.561,0.402,0.13,0.021,0.088,0.055,0.05,0.004,0.002,0.072,0.173,2.1,0.7,2.8,0.073,-0.3,-2.8,-3.1,-0.5,"SF",25,"OKC",22,430,9.3,0.551,0.468,0.137,0.015,0.111,0.063,0.044,0.002,0.002,0.044,0.136,0.5,0.2,0.7,0.08,-2.1,-2.9,-4.9,-0.3
"10","Dwight Powell","SU",0.527,0.475,140.5,0.073,0.174,0.125,0.202,0.177,0.024,0.028,0.26,-2.5,1.3,104.4,98.5,5.9,371.9,18.7,"PF",23,"BOS",5,9,34.9,0.765,0,0.4,0,0.123,0.061,0,0.111,0,0.254,0.383,0,0,0,0.138,-0.5,1.5,1,0,"PF",24,"DAL",69,992,16.8,0.557,0.054,0.48,0.093,0.209,0.151,0.072,0.018,0.02,0.1,0.184,1.8,1.3,3.1,0.151,-1.3,1,-0.3,0.4,"C",25,"DAL",77,1333,17.6,0.588,0.196,0.374,0.077,0.195,0.133,0.061,0.024,0.026,0.072,0.167,2.7,1.9,4.6,0.165,-0.5,1.9,1.4,1.2
"13","Elfrid Payton","LA",0.551,0.524,137.7,0.071,0.118,0.094,0.329,0.172,0.036,0.017,0.277,0.9,1.4,113.7,101.4,12.2,527.5,23.6,"PG",20,"ORL",82,2489,13.8,0.456,0.059,0.302,0.048,0.112,0.079,0.326,0.029,0.007,0.202,0.183,0,2.3,2.3,0.044,-1.5,0.8,-0.7,0.8,"PG",21,"ORL",73,2145,13.9,0.478,0.126,0.26,0.039,0.096,0.067,0.328,0.021,0.008,0.179,0.204,0.5,1.7,2.2,0.05,-0.9,-0.5,-1.3,0.4,"PG",22,"ORL",82,2412,17.2,0.52,0.16,0.231,0.039,0.139,0.087,0.357,0.018,0.013,0.15,0.216,2.4,2,4.4,0.088,0.7,0.2,0.9,1.7
"14","Gary Harris","MSU",0.562,0.519,159.2,0.04,0.104,0.073,0.171,0.103,0.034,0.016,0.269,0.2,1.3,117.3,99.5,17.9,382,21.6,"SG",20,"DEN",55,719,4.9,0.395,0.475,0.217,0.03,0.067,0.048,0.059,0.027,0.008,0.138,0.166,-1.2,0.5,-0.7,-0.046,-4.2,-0.1,-4.3,-0.4,"SG",21,"DEN",76,2439,12.7,0.566,0.388,0.174,0.024,0.077,0.05,0.095,0.02,0.006,0.106,0.165,2.8,1.2,4,0.079,0.9,-0.7,0.2,1.3,"SG",22,"DEN",57,1782,16.5,0.611,0.4,0.21,0.03,0.08,0.055,0.136,0.019,0.003,0.098,0.184,3.9,0.7,4.6,0.124,3.1,-1.6,1.5,1.6
"15","Glenn Robinson","UM",0.566,0.532,155,0.06,0.116,0.089,0.076,0.097,0.019,0.01,0.223,-1.5,1.3,116.2,104.6,11.6,314.1,17.9,"SG-SF",21,"TOT",35,261,8.5,0.471,0.284,0.358,0.061,0.106,0.083,0.07,0.012,0.003,0.124,0.149,0,0.1,0.1,0.012,-3.9,-2.4,-6.3,-0.3,"SF",22,"IND",45,508,11.4,0.508,0.245,0.258,0.026,0.12,0.073,0.077,0.017,0.014,0.097,0.161,0.2,0.6,0.8,0.078,-3,0,-3,-0.1,"SF",23,"IND",69,1427,11.5,0.564,0.37,0.225,0.045,0.147,0.097,0.047,0.014,0.012,0.091,0.128,1.3,1.2,2.5,0.085,-1.2,-0.2,-1.3,0.2
"18","Jabari Parker","DUKE",0.556,0.509,157.7,0.114,0.23,0.171,0.087,0.118,0.021,0.04,0.328,-5.1,1.3,114.7,98.2,16.5,468.2,26.8,"PF",19,"MIL",25,738,14.5,0.527,0.061,0.251,0.078,0.135,0.107,0.095,0.021,0.006,0.139,0.207,0.4,1,1.3,0.088,-1.4,0.2,-1.2,0.1,"PF",20,"MIL",76,2408,14.8,0.535,0.039,0.254,0.059,0.128,0.094,0.089,0.015,0.01,0.104,0.209,2.4,1.2,3.6,0.072,-0.9,-1.5,-2.4,-0.2,"PF",21,"MIL",51,1728,19.1,0.563,0.219,0.268,0.054,0.157,0.106,0.143,0.015,0.011,0.093,0.265,2.6,1.5,4,0.112,1.5,-1.3,0.2,1
