"","Player","team_name_college","true_shooting_pct_college","effective_field_goal_pct_college","total_shooting_pct_college","off_reb_rate_college","def_reb_rate_college","tot_reb_rate_college","assist_rate_college","turnover_rate_college","steal_rate_college","block_rate_college","usage_rate_college","pure_point_rating_college","points_per_shot_college","off_rating_college","def_rating_college","net_rating_college","floor_impact_counter_college","PER_college","position_NBA_1","age_NBA_1","team_name_NBA_1","games_played_NBA_1","minutes_played_NBA_1","PER_NBA_1","true_shooting_pct_NBA_1","three_pt_att_rate_NBA_1","free_throw_rate_NBA_1","off_reb_rate_NBA_1","def_reb_rate_NBA_1","tot_reb_rate_NBA_1","assist_rate_NBA_1","steal_rate_NBA_1","block_rate_NBA_1","turnover_rate_NBA_1","usage_rate_NBA_1","off_win_shares_NBA_1","def_win_shares_NBA_1","win_shares_NBA_1","win_shares_per_48_NBA_1","off_BPM_NBA_1","def_BPM_NBA_1","BPM_NBA_1","VORP_NBA_1","position_NBA_2","age_NBA_2","team_name_NBA_2","games_played_NBA_2","minutes_played_NBA_2","PER_NBA_2","true_shooting_pct_NBA_2","three_pt_att_rate_NBA_2","free_throw_rate_NBA_2","off_reb_rate_NBA_2","def_reb_rate_NBA_2","tot_reb_rate_NBA_2","assist_rate_NBA_2","steal_rate_NBA_2","block_rate_NBA_2","turnover_rate_NBA_2","usage_rate_NBA_2","off_win_shares_NBA_2","def_win_shares_NBA_2","win_shares_NBA_2","win_shares_per_48_NBA_2","off_BPM_NBA_2","def_BPM_NBA_2","BPM_NBA_2","VORP_NBA_2","position_NBA_3","age_NBA_3","team_name_NBA_3","games_played_NBA_3","minutes_played_NBA_3","PER_NBA_3","true_shooting_pct_NBA_3","three_pt_att_rate_NBA_3","free_throw_rate_NBA_3","off_reb_rate_NBA_3","def_reb_rate_NBA_3","tot_reb_rate_NBA_3","assist_rate_NBA_3","steal_rate_NBA_3","block_rate_NBA_3","turnover_rate_NBA_3","usage_rate_NBA_3","off_win_shares_NBA_3","def_win_shares_NBA_3","win_shares_NBA_3","win_shares_per_48_NBA_3","off_BPM_NBA_3","def_BPM_NBA_3","BPM_NBA_3","VORP_NBA_3"
"1","Aaron Harrison","UK",0.514,0.474,149.2,0.019,0.092,0.058,0.111,0.077,0.027,0.006,0.236,0.2,1.2,115.1,87.1,28,231.9,17.1,"SG",21,"CHO",21,93,4.3,0.371,0.526,0.632,0.047,0.131,0.088,0.03,0.032,0,0.141,0.137,-0.2,0.1,0,-0.014,-5.6,0.1,-5.5,-0.1,"SG",22,"CHO",5,17,-2.2,0.102,0.5,0.5,0,0.195,0.097,0.226,0,0,0,0.129,-0.1,0,-0.1,-0.146,-9.6,-2.1,-11.6,0,"SG",23,"DAL",9,233,5.1,0.392,0.623,0.246,0.018,0.099,0.057,0.067,0.019,0.008,0.038,0.155,-0.3,0.2,-0.1,-0.014,-3.6,-0.5,-4.1,-0.1
"2","Alan Williams","UCSB",0.524,0.458,122.6,0.121,0.316,0.218,0.129,0.106,0.023,0.065,0.308,-2.6,1.3,111.2,88.2,23,413.8,28.2,"PF",23,"PHO",10,68,21.1,0.481,0,0.583,0.219,0.392,0.303,0.117,0.029,0.06,0.166,0.226,0.1,0.2,0.2,0.146,-2.5,4,1.5,0.1,"C",24,"PHO",47,708,19.5,0.547,0.004,0.419,0.14,0.312,0.224,0.052,0.018,0.037,0.105,0.209,1.1,0.9,2.1,0.142,-1.8,0.1,-1.7,0.1,"PF",25,"PHO",5,70,9.3,0.455,0,0.5,0.045,0.295,0.168,0.163,0.034,0.012,0.242,0.175,-0.1,0.1,0,-0.004,-6.5,2.8,-3.7,0
"3","Anthony Brown","SU",0.573,0.528,166.7,0.038,0.189,0.114,0.152,0.131,0.013,0.006,0.217,-0.7,1.3,116.8,100.9,15.9,406.8,18.7,"SF",23,"LAL",29,599,4.9,0.427,0.556,0.159,0.016,0.113,0.063,0.048,0.012,0.007,0.1,0.11,-0.4,0.1,-0.3,-0.024,-4,-1.1,-5,-0.5,"SF",24,"TOT",11,159,7.2,0.43,0.54,0,0.053,0.169,0.11,0.076,0.015,0.005,0.107,0.156,-0.2,0.2,0,0.001,-3.8,-0.2,-4,-0.1,"SF",25,"MIN",1,4,41.9,1.5,1,0,0,0,0,0.417,0,0,0,0.111,0,0,0,0.571,17.1,-15,2.1,0
"6","Bobby Portis","U of A",0.582,0.552,174,0.136,0.202,0.168,0.088,0.094,0.021,0.048,0.267,-2.4,1.3,122,95.8,26.2,531,27.6,"PF",20,"CHI",62,1102,13.8,0.469,0.119,0.151,0.12,0.2,0.161,0.075,0.011,0.015,0.104,0.207,0.3,1.3,1.5,0.066,-2.4,-0.9,-3.3,-0.4,"PF",21,"CHI",64,1000,14.9,0.545,0.256,0.157,0.08,0.24,0.16,0.057,0.008,0.009,0.084,0.191,1.1,1.2,2.4,0.114,-1.6,-1.5,-3,-0.3,"PF",22,"CHI",73,1643,19.7,0.548,0.275,0.192,0.1,0.23,0.162,0.132,0.015,0.013,0.105,0.26,2,1.5,3.5,0.101,1,-0.6,0.3,1
"7","Cameron Payne","MSU",0.573,0.534,162,0.023,0.107,0.066,0.404,0.124,0.036,0.016,0.317,4.5,1.3,122.5,97.9,24.6,513.9,28.5,"PG",21,"OKC",57,698,12.9,0.49,0.399,0.086,0.015,0.112,0.066,0.225,0.026,0.007,0.132,0.203,0.6,0.8,1.4,0.093,-0.4,-0.9,-1.3,0.1,"PG",22,"OKC",20,320,6.1,0.402,0.4,0.031,0.007,0.101,0.054,0.183,0.015,0.01,0.108,0.196,-0.4,0.3,-0.1,-0.012,-4.7,-2,-6.8,-0.4,"PG",23,"CHI",25,582,14,0.498,0.423,0.074,0.032,0.098,0.064,0.299,0.022,0.014,0.14,0.193,0.3,0.4,0.8,0.063,-0.2,-0.8,-0.9,0.2
"10","D'Angelo Russell","OSU",0.573,0.541,161.6,0.036,0.154,0.098,0.301,0.148,0.028,0.011,0.302,1.2,1.3,115.8,93.7,22,489.5,25.2,"PG",19,"LAL",80,2259,13.2,0.507,0.387,0.199,0.022,0.112,0.065,0.212,0.021,0.005,0.159,0.241,-0.7,0.7,0,0.001,-0.2,-1.7,-1.8,0.1,"PG",20,"LAL",63,1811,15.3,0.518,0.443,0.217,0.018,0.119,0.067,0.268,0.023,0.007,0.156,0.266,0.3,1,1.3,0.033,1.1,-1.6,-0.5,0.7,"PG",21,"BRK",48,1234,15.2,0.509,0.414,0.195,0.026,0.138,0.081,0.357,0.014,0.01,0.168,0.308,-0.5,0.9,0.4,0.014,0.8,-1.2,-0.4,0.5
"11","Darrun Hilliard","VILL",0.576,0.543,162.4,0.02,0.108,0.066,0.159,0.088,0.038,0.013,0.252,0.7,1.3,119.5,91.5,28,326.6,21.9,"SG",22,"DET",38,383,10.7,0.511,0.382,0.305,0.014,0.119,0.064,0.109,0.012,0.002,0.113,0.191,0.2,0.3,0.5,0.066,-2,-1.6,-3.6,-0.2,"SG",23,"DET",39,381,5.9,0.459,0.365,0.222,0.006,0.092,0.047,0.123,0.015,0.004,0.168,0.193,-0.6,0.4,-0.2,-0.027,-5,-1.1,-6.1,-0.4,"SG",24,"SAS",14,95,3.4,0.362,0.316,0.368,0,0.082,0.041,0.153,0.011,0,0.153,0.123,-0.1,0.1,0,-0.015,-6.2,-1.3,-7.5,-0.1
"12","Delon Wright","U of U",0.619,0.549,170.1,0.04,0.137,0.093,0.33,0.142,0.04,0.032,0.228,4.5,1.6,129.8,86.9,42.9,528.1,27.3,"PG",23,"TOR",27,229,17.8,0.54,0.163,0.438,0.041,0.143,0.093,0.225,0.018,0.011,0.144,0.221,0.3,0.2,0.6,0.124,-0.1,-0.6,-0.7,0.1,"PG",24,"TOR",27,446,15,0.535,0.259,0.474,0.041,0.081,0.061,0.182,0.031,0.021,0.151,0.166,0.5,0.6,1.1,0.117,-0.1,1.2,1.1,0.4,"PG",25,"TOR",69,1433,16.5,0.574,0.354,0.271,0.036,0.117,0.077,0.196,0.025,0.018,0.139,0.172,2.5,2.1,4.5,0.152,1.2,1.6,2.8,1.7
"13","Devin Booker","UK",0.6,0.571,171,0.027,0.078,0.055,0.108,0.104,0.013,0.003,0.227,-1.1,1.3,122.9,90.8,32,198,18.2,"SG",19,"PHO",76,2108,11.9,0.535,0.333,0.295,0.014,0.084,0.048,0.158,0.01,0.008,0.14,0.23,1.2,0.7,1.9,0.043,-0.6,-2.4,-3.1,-0.6,"SG",20,"PHO",78,2730,14.6,0.531,0.283,0.308,0.018,0.083,0.05,0.163,0.013,0.006,0.129,0.286,1.3,0.6,2,0.035,0.4,-2.7,-2.3,-0.2,"SG",21,"PHO",54,1865,18.1,0.561,0.364,0.312,0.015,0.127,0.07,0.244,0.012,0.006,0.139,0.317,1.9,0.6,2.4,0.063,2.9,-2.4,0.4,1.2
"17","Frank Kaminsky","UW",0.628,0.59,174.3,0.06,0.255,0.16,0.184,0.098,0.017,0.045,0.286,0.5,1.5,129.7,91,38.6,643,32.4,"C",22,"CHO",81,1708,12.5,0.513,0.385,0.282,0.044,0.172,0.107,0.09,0.011,0.02,0.089,0.171,1.2,2.1,3.3,0.093,-1.6,0.4,-1.2,0.3,"C",23,"CHO",75,1954,13,0.502,0.441,0.195,0.032,0.158,0.095,0.135,0.012,0.015,0.08,0.218,0.4,1.9,2.3,0.056,-0.8,-0.8,-1.5,0.2,"PF",24,"CHO",79,1835,14.4,0.545,0.383,0.271,0.027,0.145,0.085,0.11,0.01,0.009,0.076,0.205,2.3,1.3,3.6,0.094,0.3,-1.2,-0.9,0.5
