Player,team_name_college,true_shooting_pct_college,effective_field_goal_pct_college,total_shooting_pct_college,off_reb_rate_college,def_reb_rate_college,tot_reb_rate_college,assist_rate_college,turnover_rate_college,steal_rate_college,block_rate_college,usage_rate_college,pure_point_rating_college,points_per_shot_college,off_rating_college,def_rating_college,net_rating_college,floor_impact_counter_college,PER_college,true_shooting_pct,effective_field_goal_pct,total_shooting_pct,pure_point_rating,points_per_shot,off_rating,def_rating,net_rating,floor_impact_counter,PER
Jock Landale,SMC,.668,.644,168.7,0.126,0.268,0.20199999999999999,0.135,0.129,0.006999999999999999,0.032,0.304,-3.3,1.6,129.4,97.5,31.9,614.6,31.7,0.668,0.644,168.7,-3.3,1.6,129.4,97.5,31.9,614.6,31.7
Deandre Ayton,U of A,.650,.625,168.8,0.135,0.282,0.214,0.102,0.113,0.01,0.061,0.266,-2.7,1.6,130.3,97.5,32.9,660.9,30.6,0.65,0.625,168.8,-2.7,1.6,130.3,97.5,32.9,660.9,30.6
Nick Ward,MSU,.651,.650,226.9,0.183,0.23399999999999999,0.21100000000000002,0.059000000000000004,0.14800000000000002,0.01,0.073,0.298,-7.1,1.7,121.7,89.3,32.4,368.4,30.3,0.651,0.65,226.9,-7.1,1.7,121.7,89.3,32.4,368.4,30.3
Mike Daum,SDSU,.598,.543,173.8,0.067,0.282,0.179,0.09,0.09300000000000001,0.009000000000000001,0.025,0.35,-3.7,1.4,119.5,97.8,21.7,566.5,29.6,0.598,0.543,173.8,-3.7,1.4,119.5,97.8,21.7,566.5,29.6
Chris Cokley,UAB,.621,.582,140.1,0.14300000000000002,0.221,0.185,0.122,0.09699999999999999,0.012,0.018000000000000002,0.27899999999999997,-1.7,1.4,127.2,99.0,28.2,451.4,29.0,0.621,0.582,140.1,-1.7,1.4,127.2,99,28.2,451.4,29
Scottie James,LIB,.666,.639,169.2,0.134,0.311,0.226,0.11,0.12,0.011000000000000001,0.051,0.252,-2.7,1.6,128.9,93.2,35.8,483.9,28.9,0.666,0.639,169.2,-2.7,1.6,128.9,93.2,35.8,483.9,28.9
Akolda Manyang,UVU,.654,.630,132.8,0.159,0.261,0.215,0.08199999999999999,0.193,0.01,0.106,0.285,-8.5,1.7,116.5,88.5,28.0,370.5,28.8,0.654,0.63,132.8,-8.5,1.7,116.5,88.5,28,370.5,28.8
Marvin Bagley,DUKE,.643,.640,163.7,0.13699999999999998,0.214,0.17800000000000002,0.085,0.122,0.013999999999999999,0.026000000000000002,0.259,-3.7,1.6,128.1,97.5,30.5,594.1,28.3,0.643,0.64,163.7,-3.7,1.6,128.1,97.5,30.5,594.1,28.3
Chris Clemons,CAM,.611,.545,168.5,0.012,0.14800000000000002,0.083,0.213,0.11599999999999999,0.027000000000000003,0.011000000000000001,0.36200000000000004,-1.9,1.5,117.4,102.7,14.7,444.9,28.0,0.611,0.545,168.5,-1.9,1.5,117.4,102.7,14.7,444.9,28
Ethan Happ,UW,.538,.529,116.9,0.09699999999999999,0.249,0.17,0.33299999999999996,0.145,0.03,0.038,0.349,-1.3,1.3,107.8,96.9,10.9,462.6,27.8,0.538,0.529,116.9,-1.3,1.3,107.8,96.9,10.9,462.6,27.8
