Player,team_name_college,true_shooting_pct_college,effective_field_goal_pct_college,total_shooting_pct_college,off_reb_rate_college,def_reb_rate_college,tot_reb_rate_college,assist_rate_college,turnover_rate_college,steal_rate_college,block_rate_college,usage_rate_college,pure_point_rating_college,points_per_shot_college,off_rating_college,def_rating_college,net_rating_college,floor_impact_counter_college,PER_college,true_shooting_pct,effective_field_goal_pct,total_shooting_pct,pure_point_rating,points_per_shot,off_rating,def_rating,net_rating,floor_impact_counter,PER
Gary Clark,UC,.612,.571,170.2,0.121,0.222,0.17300000000000001,0.14800000000000002,0.087,0.03,0.05,0.203,1.5,1.5,135.4,80.9,54.5,535.8,27.8,0.612,0.571,170.2,1.5,1.5,135.4,80.9,54.5,535.8,27.8
Juwan Morgan,IU,.614,.602,151.1,0.107,0.185,0.146,0.12,0.109,0.024,0.054000000000000006,0.262,-2.2,1.5,122.7,98.4,24.3,426.8,27.6,0.614,0.602,151.1,-2.2,1.5,122.7,98.4,24.3,426.8,27.6
Devontae Cacok,UNCW,.597,.585,119.7,0.17300000000000001,0.322,0.243,0.063,0.132,0.019,0.021,0.266,-5.4,1.5,118.7,104.8,13.9,514.9,27.6,0.597,0.585,119.7,-5.4,1.5,118.7,104.8,13.9,514.9,27.6
Kerem Kanter,XAV,.648,.618,169.4,0.095,0.217,0.16,0.064,0.09,0.01,0.019,0.276,-3.0,1.5,127.6,102.1,25.6,273.8,27.3,0.648,0.618,169.4,-3,1.5,127.6,102.1,25.6,273.8,27.3
Udoka Azubuike,KU,.717,.770,118.3,0.12300000000000001,0.20800000000000002,0.168,0.057,0.162,0.013000000000000001,0.076,0.228,-5.5,1.7,124.3,97.6,26.7,418.4,27.0,0.717,0.77,118.3,-5.5,1.7,124.3,97.6,26.7,418.4,27
Trae Young,OU,.585,.518,164.3,0.013000000000000001,0.099,0.057999999999999996,0.486,0.182,0.025,0.006999999999999999,0.37200000000000005,1.5,1.4,114.7,106.9,7.8,552.5,26.9,0.585,0.518,164.3,1.5,1.4,114.7,106.9,7.8,552.5,26.9
Isaac Haas,PU,.659,.617,137.5,0.096,0.187,0.145,0.067,0.129,0.004,0.057999999999999996,0.285,-5.1,1.7,124.7,94.8,29.9,360.0,26.9,0.659,0.617,137.5,-5.1,1.7,124.7,94.8,29.9,360,26.9
Cameron Jackson,WC,.607,.601,121.2,0.10099999999999999,0.217,0.16,0.15,0.14800000000000002,0.045,0.08,0.263,-3.0,1.4,115.1,94.9,20.2,337.2,26.7,0.607,0.601,121.2,-3,1.4,115.1,94.9,20.2,337.2,26.7
Nathan Knight,W&M,.636,.591,165.0,0.08800000000000001,0.21899999999999997,0.158,0.157,0.156,0.011000000000000001,0.07200000000000001,0.307,-4.1,1.6,119.0,108.6,10.4,428.9,26.7,0.636,0.591,165,-4.1,1.6,119,108.6,10.4,428.9,26.7
Tookie Brown,GSU,.648,.603,175.8,0.02,0.114,0.066,0.285,0.146,0.031,0.011000000000000001,0.256,1.1,1.7,127.5,97.5,30.0,436.9,26.6,0.648,0.603,175.8,1.1,1.7,127.5,97.5,30,436.9,26.6
Mohamed Bamba,UT,.593,.567,149.6,0.122,0.28300000000000003,0.20199999999999999,0.036000000000000004,0.12300000000000001,0.015,0.132,0.213,-4.1,1.4,118.4,88.3,30.1,465.9,26.5,0.593,0.567,149.6,-4.1,1.4,118.4,88.3,30.1,465.9,26.5
Wendell Carter,DUKE,.628,.591,171.2,0.128,0.231,0.183,0.129,0.158,0.017,0.076,0.22699999999999998,-2.5,1.6,125.3,92.0,33.3,529.8,26.4,0.628,0.591,171.2,-2.5,1.6,125.3,92,33.3,529.8,26.4
Keita Bates-Diop,OSU,.577,.544,163.3,0.057,0.245,0.155,0.105,0.096,0.016,0.059000000000000004,0.295,-2.3,1.3,116.9,93.9,23.0,520.4,26.3,0.577,0.544,163.3,-2.3,1.3,116.9,93.9,23,520.4,26.3
Trey Porter,ODU,.620,.588,225.7,0.11599999999999999,0.17800000000000002,0.146,0.046,0.10800000000000001,0.012,0.07200000000000001,0.258,-4.2,1.7,123.9,92.2,31.7,319.1,26.1,0.62,0.588,225.7,-4.2,1.7,123.9,92.2,31.7,319.1,26.1
Ajdin Penava,MU,.643,.610,165.5,0.076,0.221,0.153,0.125,0.14,0.017,0.11699999999999999,0.228,-2.1,1.6,121.4,94.2,27.2,553.5,25.9,0.643,0.61,165.5,-2.1,1.6,121.4,94.2,27.2,553.5,25.9
Matt Rafferty,FU,.643,.624,165.0,0.099,0.213,0.156,0.19399999999999998,0.10300000000000001,0.035,0.027000000000000003,0.185,3.2,1.5,136.1,90.9,45.3,440.6,25.8,0.643,0.624,165,3.2,1.5,136.1,90.9,45.3,440.6,25.8
Justin Tillman,VCU,.602,.588,154.0,0.122,0.244,0.183,0.033,0.09699999999999999,0.006,0.036000000000000004,0.278,-4.5,1.4,118.8,102.1,16.7,470.2,25.6,0.602,0.588,154,-4.5,1.4,118.8,102.1,16.7,470.2,25.6
David Collette,U of U,.654,.634,168.4,0.081,0.163,0.124,0.149,0.128,0.021,0.035,0.267,-2.6,1.6,122.0,98.8,23.3,302.1,25.6,0.654,0.634,168.4,-2.6,1.6,122,98.8,23.3,302.1,25.6
Aric Holman,MSU,.665,.645,174.6,0.111,0.221,0.168,0.066,0.13699999999999998,0.012,0.08900000000000001,0.20800000000000002,-3.5,1.6,127.6,93.8,33.8,409.9,25.6,0.665,0.645,174.6,-3.5,1.6,127.6,93.8,33.8,409.9,25.6
Yante Maten,UGA,.567,.497,160.6,0.11800000000000001,0.157,0.138,0.11599999999999999,0.107,0.008,0.047,0.287,-3.1,1.4,120.2,100.0,20.2,464.4,25.5,0.567,0.497,160.6,-3.1,1.4,120.2,100,20.2,464.4,25.5
Mikal Bridges,VILL,.655,.623,180.0,0.052000000000000005,0.138,0.09699999999999999,0.106,0.091,0.027000000000000003,0.035,0.23199999999999998,-0.2,1.5,132.8,97.4,35.4,556.0,25.4,0.655,0.623,180,-0.2,1.5,132.8,97.4,35.4,556,25.4
Dean Wade,KSU,.633,.606,174.1,0.051,0.18,0.11699999999999999,0.18100000000000002,0.1,0.027999999999999997,0.031,0.23199999999999998,1.2,1.5,126.7,97.9,28.9,465.6,25.3,0.633,0.606,174.1,1.2,1.5,126.7,97.9,28.9,465.6,25.3
Donta Hall,UA,.698,.726,128.2,0.111,0.192,0.153,0.055,0.142,0.017,0.091,0.187,-3.6,1.7,127.7,95.0,32.7,392.0,25.3,0.698,0.726,128.2,-3.6,1.7,127.7,95,32.7,392,25.3
Omer Yurtseven,NCST,.610,.606,168.4,0.128,0.19399999999999998,0.16,0.039,0.094,0.011000000000000001,0.076,0.244,-3.5,1.4,122.7,100.7,21.9,362.5,25.3,0.61,0.606,168.4,-3.5,1.4,122.7,100.7,21.9,362.5,25.3
Roddy Peters,NSU,.577,.527,156.6,0.036000000000000004,0.20199999999999999,0.12,0.336,0.182,0.027000000000000003,0.006999999999999999,0.353,-3.3,1.4,109.3,96.1,13.2,389.0,25.2,0.577,0.527,156.6,-3.3,1.4,109.3,96.1,13.2,389,25.2
Shaquille Morris,WSU,.611,.582,167.3,0.08199999999999999,0.183,0.134,0.114,0.113,0.013000000000000001,0.076,0.265,-2.4,1.4,121.9,97.7,24.2,353.1,25.2,0.611,0.582,167.3,-2.4,1.4,121.9,97.7,24.2,353.1,25.2
Xavier Cooks,WIN,.560,.531,149.3,0.086,0.237,0.166,0.255,0.175,0.019,0.077,0.309,-2.8,1.3,108.8,91.2,17.6,449.1,25.1,0.56,0.531,149.3,-2.8,1.3,108.8,91.2,17.6,449.1,25.1
Jaren Jackson,MSU,.647,.595,170.6,0.08800000000000001,0.19699999999999998,0.149,0.09300000000000001,0.174,0.016,0.142,0.235,-4.8,1.6,120.7,85.8,34.9,370.4,25.1,0.647,0.595,170.6,-4.8,1.6,120.7,85.8,34.9,370.4,25.1
Noah Dickerson,UW,.635,.572,175.5,0.12300000000000001,0.243,0.184,0.071,0.156,0.013999999999999999,0.022000000000000002,0.268,-6.1,1.7,120.8,100.1,20.7,385.9,25.1,0.635,0.572,175.5,-6.1,1.7,120.8,100.1,20.7,385.9,25.1
Daniel Gafford,U of A,.594,.605,113.3,0.11199999999999999,0.2,0.157,0.06,0.096,0.013999999999999999,0.115,0.239,-2.6,1.5,120.3,99.8,20.5,355.4,25.1,0.594,0.605,113.3,-2.6,1.5,120.3,99.8,20.5,355.4,25.1
Zach Thomas,BU,.603,.533,162.1,0.048,0.263,0.16,0.134,0.14800000000000002,0.017,0.021,0.306,-4.7,1.6,115.0,95.3,19.7,508.8,25.0,0.603,0.533,162.1,-4.7,1.6,115,95.3,19.7,508.8,25
Luke Garza,UI,.613,.588,158.7,0.128,0.204,0.16699999999999998,0.09699999999999999,0.09699999999999999,0.009000000000000001,0.046,0.245,-1.6,1.5,126.6,107.7,18.9,333.9,25.0,0.613,0.588,158.7,-1.6,1.5,126.6,107.7,18.9,333.9,25
Travin Thibodeaux,UNO,.596,.569,162.3,0.048,0.193,0.11900000000000001,0.251,0.136,0.027999999999999997,0.044000000000000004,0.272,-0.7,1.4,116.1,95.9,20.2,325.2,24.9,0.596,0.569,162.3,-0.7,1.4,116.1,95.9,20.2,325.2,24.9
Max Mahoney,BU,.599,.601,115.7,0.084,0.18899999999999997,0.13699999999999998,0.149,0.14400000000000002,0.018000000000000002,0.053,0.306,-4.8,1.4,110.6,101.1,9.5,250.5,24.8,0.599,0.601,115.7,-4.8,1.4,110.6,101.1,9.5,250.5,24.8
Chandler Hutchison,BSU,.575,.528,156.2,0.033,0.258,0.147,0.239,0.162,0.027000000000000003,0.009000000000000001,0.332,-3.4,1.4,110.8,93.1,17.7,416.2,24.8,0.575,0.528,156.2,-3.4,1.4,110.8,93.1,17.7,416.2,24.8
Martin Geben,ND,.653,.608,179.0,0.139,0.22699999999999998,0.184,0.1,0.16399999999999998,0.013999999999999999,0.038,0.213,-3.8,1.5,124.9,98.2,26.7,410.5,24.8,0.653,0.608,179,-3.8,1.5,124.9,98.2,26.7,410.5,24.8
Bryson Scott,IPFW,.567,.503,157.0,0.022000000000000002,0.146,0.08199999999999999,0.177,0.121,0.034,0.005,0.349,-3.0,1.4,111.3,101.1,10.2,397.1,24.8,0.567,0.503,157,-3,1.4,111.3,101.1,10.2,397.1,24.8
Jalen Brunson,VILL,.635,.604,173.1,0.012,0.09699999999999999,0.055999999999999994,0.266,0.107,0.017,0.001,0.264,4.1,1.5,131.0,103.2,27.8,513.2,24.7,0.635,0.604,173.1,4.1,1.5,131,103.2,27.8,513.2,24.7
Vladimir Brodziansky,TCU,.658,.613,173.6,0.095,0.132,0.114,0.08,0.098,0.006,0.065,0.231,-1.7,1.6,133.2,106.5,26.7,378.9,24.7,0.658,0.613,173.6,-1.7,1.6,133.2,106.5,26.7,378.9,24.7
Bogdan Bliznyuk,EWU,.629,.573,182.8,0.033,0.196,0.11699999999999999,0.249,0.168,0.013999999999999999,0.009000000000000001,0.302,-2.3,1.5,116.5,103.3,13.3,497.8,24.6,0.629,0.573,182.8,-2.3,1.5,116.5,103.3,13.3,497.8,24.6
Nicholas King,MTSU,.569,.535,161.6,0.086,0.22699999999999998,0.156,0.136,0.134,0.013000000000000001,0.008,0.331,-4.8,1.3,111.8,97.2,14.5,437.1,24.5,0.569,0.535,161.6,-4.8,1.3,111.8,97.2,14.5,437.1,24.5
Jordan Murphy,U of M,.574,.539,153.8,0.132,0.245,0.188,0.096,0.15,0.022000000000000002,0.032,0.264,-5.2,1.4,112.0,100.0,12.0,478.8,24.5,0.574,0.539,153.8,-5.2,1.4,112,100,12,478.8,24.5
Doral Moore,WF,.658,.689,114.7,0.141,0.282,0.21,0.025,0.13,0.008,0.091,0.188,-4.2,1.5,123.9,100.2,23.7,386.4,24.4,0.658,0.689,114.7,-4.2,1.5,123.9,100.2,23.7,386.4,24.4
Robert Williams,TAMU,.614,.632,110.3,0.10400000000000001,0.272,0.192,0.11,0.17,0.018000000000000002,0.1,0.193,-3.0,1.4,114.1,91.8,22.3,403.2,24.3,0.614,0.632,110.3,-3,1.4,114.1,91.8,22.3,403.2,24.3
Carsen Edwards,PU,.596,.555,168.8,0.016,0.129,0.077,0.196,0.1,0.023,0.008,0.305,0.5,1.4,119.7,97.2,22.5,418.6,24.3,0.596,0.555,168.8,0.5,1.4,119.7,97.2,22.5,418.6,24.3
Peyton Aldridge,DAV,.591,.552,171.1,0.049,0.19899999999999998,0.127,0.14,0.063,0.006,0.02,0.282,1.3,1.3,122.2,103.3,18.9,502.9,24.2,0.591,0.552,171.1,1.3,1.3,122.2,103.3,18.9,502.9,24.2
Jalen Canty,UCSB,.607,.586,124.7,0.14400000000000002,0.17300000000000001,0.159,0.069,0.10800000000000001,0.011000000000000001,0.07200000000000001,0.21600000000000003,-2.3,1.5,125.2,96.7,28.4,318.4,24.2,0.607,0.586,124.7,-2.3,1.5,125.2,96.7,28.4,318.4,24.2
Stone Gettings,COR,.594,.550,167.9,0.063,0.21600000000000003,0.14300000000000002,0.25,0.138,0.015,0.018000000000000002,0.31,-1.3,1.4,113.5,107.6,5.9,329.8,24.2,0.594,0.55,167.9,-1.3,1.4,113.5,107.6,5.9,329.8,24.2
Tramaine Isabell,DREX,.577,.533,157.7,0.035,0.20600000000000002,0.122,0.22399999999999998,0.136,0.02,0,0.304,-1.7,1.4,114.3,107.1,7.2,390.6,24.2,0.577,0.533,157.7,-1.7,1.4,114.3,107.1,7.2,390.6,24.2
Matt Klinewski,LC,.619,.577,174.7,0.053,0.193,0.127,0.135,0.129,0.01,0.027999999999999997,0.3,-3.7,1.5,115.4,106.1,9.3,325.4,24.1,0.619,0.577,174.7,-3.7,1.5,115.4,106.1,9.3,325.4,24.1
Kevin McKay,CMU,.630,.579,179.3,0.121,0.154,0.138,0.14,0.165,0.039,0.025,0.213,-2.5,1.5,124.0,100.9,23.1,394.2,24.1,0.63,0.579,179.3,-2.5,1.5,124,100.9,23.1,394.2,24.1
Jerrick Harding,WSU,.633,.590,183.7,0.025,0.09300000000000001,0.062,0.121,0.121,0.018000000000000002,0.005,0.317,-3.8,1.5,116.3,102.3,14.0,348.2,24.1,0.633,0.59,183.7,-3.8,1.5,116.3,102.3,14,348.2,24.1
Brayon Blake,U of I,.579,.564,160.9,0.091,0.29600000000000004,0.198,0.098,0.11699999999999999,0.013999999999999999,0.02,0.294,-4.0,1.3,113.9,95.5,18.3,391.5,24.1,0.579,0.564,160.9,-4,1.3,113.9,95.5,18.3,391.5,24.1
Raymond Spalding,U of L,.568,.550,144.7,0.133,0.209,0.17300000000000001,0.096,0.135,0.031,0.063,0.23,-3.1,1.3,114.4,91.6,22.8,458.2,24.1,0.568,0.55,144.7,-3.1,1.3,114.4,91.6,22.8,458.2,24.1
James Thompson,EMU,.665,.672,127.9,0.14400000000000002,0.22899999999999998,0.188,0.019,0.14800000000000002,0.013000000000000001,0.065,0.193,-5.1,1.7,125.5,94.8,30.6,530.1,24.0,0.665,0.672,127.9,-5.1,1.7,125.5,94.8,30.6,530.1,24
Fletcher Magee,WC,.654,.625,182.9,0.01,0.098,0.055,0.115,0.08900000000000001,0.016,0.003,0.29100000000000004,-1.6,1.4,124.0,107.8,16.2,400.9,24.0,0.654,0.625,182.9,-1.6,1.4,124,107.8,16.2,400.9,24
Kaleb Wesson,OSU,.615,.571,156.8,0.139,0.14400000000000002,0.141,0.102,0.11,0.016,0.036000000000000004,0.233,-1.5,1.6,128.0,98.9,29.0,265.2,24.0,0.615,0.571,156.8,-1.5,1.6,128,98.9,29,265.2,24
Bennett Koch,UNI,.611,.556,129.0,0.09300000000000001,0.20600000000000002,0.15,0.055999999999999994,0.159,0.017,0.040999999999999995,0.281,-7.3,1.6,112.7,93.1,19.6,271.9,23.9,0.611,0.556,129,-7.3,1.6,112.7,93.1,19.6,271.9,23.9
Garrison Mathews,LIP,.620,.563,164.6,0.045,0.152,0.098,0.121,0.11,0.017,0.009000000000000001,0.29600000000000004,-2.9,1.6,121.4,100.2,21.2,409.9,23.9,0.62,0.563,164.6,-2.9,1.6,121.4,100.2,21.2,409.9,23.9
Drew Urquhart,UVM,.667,.636,187.4,0.077,0.201,0.142,0.151,0.11699999999999999,0.006,0.051,0.213,0.1,1.6,131.9,97.5,34.4,338.1,23.9,0.667,0.636,187.4,0.1,1.6,131.9,97.5,34.4,338.1,23.9
JaKeenan Gant,LA,.615,.601,156.9,0.09699999999999999,0.158,0.127,0.069,0.099,0.012,0.09300000000000001,0.226,-2.4,1.4,124.1,96.0,28.1,370.4,23.9,0.615,0.601,156.9,-2.4,1.4,124.1,96,28.1,370.4,23.9
Brandon McCoy,UNLV,.590,.548,160.3,0.127,0.251,0.19399999999999998,0.035,0.155,0.009000000000000001,0.057,0.275,-7.6,1.5,112.4,98.9,13.5,443.1,23.9,0.59,0.548,160.3,-7.6,1.5,112.4,98.9,13.5,443.1,23.9
Thomas Wilder,WMY,.557,.484,159.6,0.024,0.136,0.078,0.276,0.127,0.034,0.012,0.294,1.2,1.4,115.5,103.1,12.4,399.6,23.9,0.557,0.484,159.6,1.2,1.4,115.5,103.1,12.4,399.6,23.9
Jeremiah Martin,UM,.577,.516,155.4,0.026000000000000002,0.12,0.07400000000000001,0.26,0.142,0.039,0.022000000000000002,0.282,-0.5,1.4,117.0,101.8,15.3,348.4,23.9,0.577,0.516,155.4,-0.5,1.4,117,101.8,15.3,348.4,23.9
Keenan Evans,TTU,.601,.529,160.8,0.013000000000000001,0.106,0.06,0.23399999999999999,0.11699999999999999,0.022000000000000002,0.012,0.284,0.7,1.5,122.5,95.5,27.1,383.6,23.8,0.601,0.529,160.8,0.7,1.5,122.5,95.5,27.1,383.6,23.8
Moe Wagner,UM,.619,.605,161.6,0.065,0.25,0.158,0.068,0.10800000000000001,0.022000000000000002,0.02,0.262,-3.4,1.4,117.5,92.7,24.8,420.5,23.8,0.619,0.605,161.6,-3.4,1.4,117.5,92.7,24.8,420.5,23.8
Matt Morgan,COR,.629,.582,167.8,0.013999999999999999,0.134,0.077,0.213,0.121,0.013000000000000001,0.01,0.299,-0.9,1.5,119.0,111.9,7.1,379.8,23.8,0.629,0.582,167.8,-0.9,1.5,119,111.9,7.1,379.8,23.8
Raasean Davis,NCCU,.665,.671,125.9,0.11599999999999999,0.19399999999999998,0.156,0.033,0.149,0.012,0.039,0.22899999999999998,-6.0,1.5,119.2,98.4,20.8,424.9,23.8,0.665,0.671,125.9,-6,1.5,119.2,98.4,20.8,424.9,23.8
Killian Tillie,GU,.669,.652,183.2,0.078,0.174,0.129,0.11199999999999999,0.141,0.018000000000000002,0.042,0.213,-1.8,1.5,128.5,93.6,34.8,403.1,23.8,0.669,0.652,183.2,-1.8,1.5,128.5,93.6,34.8,403.1,23.8
Jevon Carter,WVU,.549,.498,167.3,0.024,0.132,0.075,0.36200000000000004,0.14400000000000002,0.05,0.012,0.25,5.1,1.3,119.5,94.1,25.4,553.9,23.7,0.549,0.498,167.3,5.1,1.3,119.5,94.1,25.4,553.9,23.7
Rui Hachimura,GU,.623,.578,155.7,0.07400000000000001,0.18,0.13,0.055,0.113,0.013999999999999999,0.027000000000000003,0.251,-3.8,1.5,124.1,95.5,28.6,290.5,23.7,0.623,0.578,155.7,-3.8,1.5,124.1,95.5,28.6,290.5,23.7
Yoeli Childs,BYU,.576,.557,149.6,0.077,0.235,0.159,0.146,0.12300000000000001,0.015,0.062,0.27699999999999997,-2.1,1.4,111.6,95.3,16.3,512.2,23.7,0.576,0.557,149.6,-2.1,1.4,111.6,95.3,16.3,512.2,23.7
Denzel Mahoney,SEMO,.618,.547,171.1,0.055999999999999994,0.14,0.098,0.08800000000000001,0.095,0.017,0.006,0.284,-2.6,1.6,124.3,112.0,12.4,336.5,23.6,0.618,0.547,171.1,-2.6,1.6,124.3,112,12.4,336.5,23.6
Dimencio Vaughn,RU,.595,.550,162.2,0.096,0.16399999999999998,0.129,0.073,0.149,0.035,0.031,0.263,-5.6,1.4,115.1,100.4,14.7,328.0,23.6,0.595,0.55,162.2,-5.6,1.4,115.1,100.4,14.7,328,23.6
Eugene German,NIU,.564,.531,158.1,0.015,0.128,0.07200000000000001,0.131,0.10099999999999999,0.016,0.006,0.33299999999999996,-3.1,1.3,112.3,109.9,2.5,308.5,23.5,0.564,0.531,158.1,-3.1,1.3,112.3,109.9,2.5,308.5,23.5
Dylan Windler,BEL,.668,.653,170.2,0.063,0.24,0.158,0.152,0.154,0.017,0.027999999999999997,0.228,-1.6,1.6,124.3,96.4,28.0,526.6,23.5,0.668,0.653,170.2,-1.6,1.6,124.3,96.4,28,526.6,23.5
Rob Gray,U of H,.563,.509,160.8,0.025,0.10400000000000001,0.065,0.28600000000000003,0.12,0.021,0.004,0.304,1.9,1.3,118.7,97.9,20.8,399.1,23.5,0.563,0.509,160.8,1.9,1.3,118.7,97.9,20.8,399.1,23.5
Jahad Thomas,UML,.570,.534,157.7,0.08,0.196,0.136,0.247,0.16,0.027000000000000003,0.008,0.301,-2.4,1.4,110.5,106.9,3.7,411.4,23.4,0.57,0.534,157.7,-2.4,1.4,110.5,106.9,3.7,411.4,23.4
Chris Silva,USC,.581,.476,163.6,0.136,0.218,0.175,0.11199999999999999,0.17600000000000002,0.013999999999999999,0.064,0.282,-7.1,1.7,113.1,94.0,19.0,348.4,23.4,0.581,0.476,163.6,-7.1,1.7,113.1,94,19,348.4,23.4
Cameron Lard,ISU,.603,.601,119.0,0.14,0.18899999999999997,0.165,0.049,0.151,0.011000000000000001,0.087,0.231,-5.6,1.4,113.6,102.3,11.3,337.1,23.4,0.603,0.601,119,-5.6,1.4,113.6,102.3,11.3,337.1,23.4
Elijah Minnie,EMU,.572,.537,163.3,0.053,0.165,0.111,0.076,0.136,0.034,0.07,0.28,-5.2,1.3,109.2,93.3,15.9,426.2,23.4,0.572,0.537,163.3,-5.2,1.3,109.2,93.3,15.9,426.2,23.4
Tyler Davis,TAMU,.606,.595,148.9,0.134,0.187,0.162,0.087,0.14,0.006999999999999999,0.048,0.235,-3.9,1.5,118.4,98.9,19.5,449.8,23.3,0.606,0.595,148.9,-3.9,1.5,118.4,98.9,19.5,449.8,23.3
Isaiah Miller,UNCG,.557,.546,127.8,0.099,0.135,0.11599999999999999,0.213,0.149,0.05,0.005,0.275,-2.2,1.2,110.8,87.3,23.5,204.9,23.3,0.557,0.546,127.8,-2.2,1.2,110.8,87.3,23.5,204.9,23.3
Aaron Menzies,SEA,.623,.609,125.7,0.14800000000000002,0.215,0.183,0.044000000000000004,0.11699999999999999,0.006,0.09300000000000001,0.188,-3.1,1.6,126.7,97.7,29.0,420.0,23.3,0.623,0.609,125.7,-3.1,1.6,126.7,97.7,29,420,23.3
Johnny Hamilton,UTA,.644,.629,129.3,0.138,0.22699999999999998,0.184,0.048,0.179,0.012,0.115,0.212,-6.1,1.6,116.9,92.9,24.1,386.1,23.3,0.644,0.629,129.3,-6.1,1.6,116.9,92.9,24.1,386.1,23.3
Shannon Bogues,SFA,.595,.562,165.3,0.033,0.086,0.06,0.11699999999999999,0.098,0.03,0.009000000000000001,0.27899999999999997,-2.0,1.4,120.2,95.0,25.2,297.1,23.3,0.595,0.562,165.3,-2,1.4,120.2,95,25.2,297.1,23.3
De'Quon Lake,ASU,.708,.711,137.3,0.124,0.218,0.172,0.013999999999999999,0.08,0.009000000000000001,0.08800000000000001,0.157,-2.0,1.8,143.7,98.2,45.5,242.9,23.2,0.708,0.711,137.3,-2,1.8,143.7,98.2,45.5,242.9,23.2
Cameron Krutwig,L-IL,.628,.598,133.3,0.114,0.20800000000000002,0.166,0.153,0.15,0.013000000000000001,0.034,0.231,-1.4,1.5,120.9,92.9,28.0,384.1,23.2,0.628,0.598,133.3,-1.4,1.5,120.9,92.9,28,384.1,23.2
Phil Fayne,ISU,.584,.595,111.0,0.126,0.145,0.136,0.078,0.11699999999999999,0.023,0.038,0.254,-3.8,1.5,114.4,100.5,13.9,342.9,23.2,0.584,0.595,111,-3.8,1.5,114.4,100.5,13.9,342.9,23.2
Alize Johnson,MSU,.528,.481,146.9,0.115,0.303,0.21,0.193,0.136,0.009000000000000001,0.015,0.271,-1.2,1.2,112.3,96.2,16.1,469.1,23.2,0.528,0.481,146.9,-1.2,1.2,112.3,96.2,16.1,469.1,23.2
Nick Dixon,UTRGV,.585,.509,159.6,0.053,0.10400000000000001,0.077,0.187,0.125,0.025,0.006,0.306,-2.8,1.5,114.7,103.6,11.1,375.4,23.1,0.585,0.509,159.6,-2.8,1.5,114.7,103.6,11.1,375.4,23.1
