"","Player","team_name_college","true_shooting_pct_college","effective_field_goal_pct_college","total_shooting_pct_college","off_reb_rate_college","def_reb_rate_college","tot_reb_rate_college","assist_rate_college","turnover_rate_college","steal_rate_college","block_rate_college","usage_rate_college","pure_point_rating_college","points_per_shot_college","off_rating_college","def_rating_college","net_rating_college","floor_impact_counter_college","PER_college","position_NBA_1","age_NBA_1","team_name_NBA_1","games_played_NBA_1","minutes_played_NBA_1","PER_NBA_1","true_shooting_pct_NBA_1","three_pt_att_rate_NBA_1","free_throw_rate_NBA_1","off_reb_rate_NBA_1","def_reb_rate_NBA_1","tot_reb_rate_NBA_1","assist_rate_NBA_1","steal_rate_NBA_1","block_rate_NBA_1","turnover_rate_NBA_1","usage_rate_NBA_1","off_win_shares_NBA_1","def_win_shares_NBA_1","win_shares_NBA_1","win_shares_per_48_NBA_1","off_BPM_NBA_1","def_BPM_NBA_1","BPM_NBA_1","VORP_NBA_1","position_NBA_2","age_NBA_2","team_name_NBA_2","games_played_NBA_2","minutes_played_NBA_2","PER_NBA_2","true_shooting_pct_NBA_2","three_pt_att_rate_NBA_2","free_throw_rate_NBA_2","off_reb_rate_NBA_2","def_reb_rate_NBA_2","tot_reb_rate_NBA_2","assist_rate_NBA_2","steal_rate_NBA_2","block_rate_NBA_2","turnover_rate_NBA_2","usage_rate_NBA_2","off_win_shares_NBA_2","def_win_shares_NBA_2","win_shares_NBA_2","win_shares_per_48_NBA_2","off_BPM_NBA_2","def_BPM_NBA_2","BPM_NBA_2","VORP_NBA_2","position_NBA_3","age_NBA_3","team_name_NBA_3","games_played_NBA_3","minutes_played_NBA_3","PER_NBA_3","true_shooting_pct_NBA_3","three_pt_att_rate_NBA_3","free_throw_rate_NBA_3","off_reb_rate_NBA_3","def_reb_rate_NBA_3","tot_reb_rate_NBA_3","assist_rate_NBA_3","steal_rate_NBA_3","block_rate_NBA_3","turnover_rate_NBA_3","usage_rate_NBA_3","off_win_shares_NBA_3","def_win_shares_NBA_3","win_shares_NBA_3","win_shares_per_48_NBA_3","off_BPM_NBA_3","def_BPM_NBA_3","BPM_NBA_3","VORP_NBA_3"
"4","Andrew Bogut","U of U",0.648,0.63,167.3,0.084,0.175,0.132,0.182,0.148,0.024,0.064,0.298,-4.7,1.6,125.6,94.9,30.7,696,42.3,"PF",21,"MIL",82,2348,15.2,0.555,0.005,0.32,0.094,0.198,0.145,0.134,0.011,0.023,0.153,0.159,3.1,2.4,5.5,0.113,-0.2,2,1.8,2.3,"C",22,"MIL",66,2258,15.5,0.566,0.008,0.308,0.087,0.219,0.152,0.139,0.011,0.012,0.174,0.173,2.6,1.4,4,0.085,-0.1,0.7,0.5,1.4,"C",23,"MIL",78,2720,17.5,0.532,0.008,0.354,0.102,0.234,0.165,0.124,0.012,0.039,0.141,0.202,2.6,2.3,4.8,0.085,-0.5,1.7,1.2,2.2
"5","Antoine Wright","TAMU",0.613,0.594,163.8,0.059,0.139,0.101,0.145,0.143,0.022,0.027,0.258,-2.8,1.4,118.1,95.1,23.1,376.1,22.2,"SG",21,"NJN",39,370,0.7,0.386,0.185,0.272,0.025,0.071,0.048,0.052,0.006,0.007,0.188,0.142,-0.8,0.3,-0.5,-0.062,-8.2,-0.8,-9,-0.7,"SG",22,"NJN",63,1137,8.1,0.5,0.235,0.291,0.04,0.141,0.091,0.076,0.014,0.007,0.132,0.134,0,1.1,1.2,0.049,-3.5,0.1,-3.4,-0.4,"SG",23,"DAL",15,176,9,0.566,0.214,0.214,0.034,0.108,0.072,0.114,0.006,0.017,0.193,0.151,0,0.2,0.2,0.056,-2.4,-0.3,-2.6,0
"8","Brandon Bass","LSU",0.637,0.586,180.6,0.096,0.214,0.156,0.055,0.117,0.014,0.051,0.233,-3.6,1.6,126.8,101.3,25.6,441.2,24.6,"PF",20,"NOK",29,268,9.1,0.434,0,0.271,0.078,0.228,0.151,0.018,0.006,0.022,0.123,0.156,-0.2,0.3,0.1,0.013,-6.6,-1.5,-8.2,-0.4,"PF",21,"NOK",21,162,7.2,0.411,0.023,0.364,0.091,0.219,0.153,0.028,0.007,0.015,0.164,0.172,-0.2,0.2,0,-0.011,-7.2,-1.5,-8.7,-0.3,"C",22,"DAL",79,1557,15.9,0.564,0.008,0.4,0.092,0.163,0.129,0.061,0.008,0.023,0.124,0.198,2.4,1.9,4.3,0.132,-1,0,-1,0.4
"9","Channing Frye","U of A",0.605,0.557,156,0.069,0.113,0.091,0.119,0.117,0.02,0.076,0.229,-1.6,1.4,126.6,104.1,22.5,536.1,28.2,"C",22,"NYK",65,1572,18.1,0.541,0.014,0.358,0.106,0.185,0.145,0.066,0.01,0.025,0.116,0.242,2.6,0.9,3.5,0.108,-0.2,-1.4,-1.6,0.2,"PF",23,"NYK",72,1896,10.5,0.464,0.026,0.157,0.058,0.189,0.124,0.062,0.01,0.018,0.12,0.2,-0.6,1.6,0.9,0.024,-4.3,-0.5,-4.7,-1.3,"C",24,"POR",78,1342,14.8,0.529,0.022,0.241,0.094,0.216,0.155,0.074,0.012,0.016,0.099,0.196,1.6,1.6,3.2,0.114,-1.6,0.2,-1.4,0.2
"11","Charlie Villanueva","UConn",0.566,0.531,170.9,0.114,0.204,0.163,0.102,0.158,0.014,0.067,0.256,-5,1.4,111.6,88.9,22.7,365.6,22.6,"PF",21,"TOR",81,2361,16.4,0.521,0.228,0.17,0.09,0.184,0.135,0.065,0.013,0.021,0.089,0.217,2.9,1,3.9,0.079,0.3,-1.3,-1,0.6,"PF",22,"MIL",39,984,15.8,0.547,0.225,0.232,0.073,0.201,0.136,0.061,0.013,0.009,0.113,0.218,1.2,0.6,1.7,0.085,-0.6,-2.3,-2.9,-0.2,"PF",23,"MIL",76,1829,14.9,0.502,0.227,0.193,0.089,0.215,0.15,0.075,0.009,0.015,0.108,0.244,0.9,0.9,1.7,0.045,-1.4,-2.6,-4,-0.9
"12","Chris Paul","WF",0.601,0.524,176,0.023,0.118,0.072,0.336,0.18,0.04,0.001,0.215,4.5,1.5,126.7,99.7,27,453.4,22.3,"PG",20,"NOK",78,2808,22.1,0.546,0.187,0.491,0.025,0.148,0.085,0.382,0.034,0.002,0.137,0.222,6.8,3.6,10.4,0.178,4.7,1.4,6.1,5.7,"PG",21,"NOK",64,2353,22,0.537,0.164,0.41,0.026,0.113,0.069,0.413,0.027,0.001,0.135,0.231,6.2,2.6,8.8,0.179,4.5,0.1,4.6,3.9,"PG",22,"NOH",80,3006,28.3,0.576,0.193,0.302,0.024,0.103,0.062,0.522,0.039,0.001,0.121,0.257,13.2,4.6,17.8,0.284,8.3,0.9,9.2,8.5
"13","Chuck Hayes","UK",0.544,0.5,146.4,0.107,0.171,0.139,0.152,0.149,0.039,0.042,0.203,-0.8,1.3,114.1,88,26.1,425.4,22,"PF",22,"HOU",40,535,18,0.589,0.01,0.429,0.149,0.241,0.196,0.046,0.026,0.021,0.088,0.122,1.2,1.1,2.4,0.212,-0.5,2.3,1.8,0.5,"PF",23,"HOU",78,1714,13.9,0.587,0,0.266,0.138,0.211,0.175,0.044,0.022,0.008,0.146,0.119,2.9,3.6,6.4,0.179,-1,2.6,1.6,1.6,"PF",24,"HOU",79,1575,11.2,0.512,0.014,0.109,0.096,0.208,0.153,0.084,0.029,0.02,0.211,0.085,0.8,3.7,4.4,0.136,-2.5,5.4,2.8,1.9
"14","Danny Granger","UNM",0.636,0.589,171.2,0.053,0.14,0.098,0.175,0.14,0.054,0.077,0.296,-3.4,1.6,124,93.1,30.9,531,40.6,"SF",22,"IND",78,1765,14.7,0.54,0.195,0.31,0.088,0.16,0.125,0.088,0.018,0.026,0.128,0.164,2.1,3,5.1,0.139,-0.5,2.6,2.1,1.9,"SF",23,"IND",82,2785,13.9,0.573,0.332,0.339,0.046,0.113,0.079,0.07,0.012,0.017,0.119,0.182,3.9,2.6,6.5,0.111,0.8,0,0.9,2,"SF",24,"IND",80,2876,16.7,0.571,0.351,0.314,0.034,0.152,0.092,0.096,0.016,0.022,0.111,0.232,4.1,3.2,7.3,0.122,1.3,0.2,1.4,2.5
"15","David Lee","UF",0.57,0.525,123.9,0.106,0.259,0.186,0.164,0.182,0.023,0.029,0.265,-4.2,1.4,111.3,87.6,23.7,386.4,23.1,"SF",22,"NYK",67,1129,15.4,0.607,0,0.535,0.116,0.211,0.163,0.065,0.014,0.015,0.152,0.135,2,0.8,2.7,0.116,0.2,0.2,0.4,0.7,"PF",23,"NYK",58,1731,20.2,0.652,0,0.433,0.136,0.276,0.207,0.102,0.015,0.011,0.162,0.149,4.8,2.1,6.9,0.191,2.2,1.6,3.8,2.5,"PF",24,"NYK",81,2356,18,0.606,0.003,0.383,0.113,0.241,0.175,0.067,0.012,0.01,0.118,0.156,5.6,1.8,7.4,0.151,0.6,0.2,0.8,1.7
"17","Deron Williams","U of I",0.535,0.516,147.4,0.013,0.109,0.062,0.358,0.193,0.018,0.007,0.226,5.2,1.2,111.9,97.5,14.3,415.8,17.2,"PG",21,"UTA",80,2307,12.4,0.5,0.272,0.168,0.018,0.084,0.051,0.286,0.014,0.006,0.144,0.203,1.5,1.3,2.8,0.059,0.1,-2.4,-2.3,-0.2,"PG",22,"UTA",80,2950,17.1,0.535,0.235,0.273,0.017,0.093,0.055,0.416,0.014,0.004,0.169,0.222,5.3,1.9,7.2,0.117,2.7,-2,0.8,2.1,"PG",23,"UTA",82,3059,20.8,0.595,0.188,0.368,0.014,0.083,0.049,0.436,0.015,0.006,0.177,0.231,8.9,2.3,11.3,0.177,4.3,-2.2,2.1,3.2
