"","Player","team_name_college","true_shooting_pct_college","effective_field_goal_pct_college","total_shooting_pct_college","off_reb_rate_college","def_reb_rate_college","tot_reb_rate_college","assist_rate_college","turnover_rate_college","steal_rate_college","block_rate_college","usage_rate_college","pure_point_rating_college","points_per_shot_college","off_rating_college","def_rating_college","net_rating_college","floor_impact_counter_college","PER_college","position_NBA_1","age_NBA_1","team_name_NBA_1","games_played_NBA_1","minutes_played_NBA_1","PER_NBA_1","true_shooting_pct_NBA_1","three_pt_att_rate_NBA_1","free_throw_rate_NBA_1","off_reb_rate_NBA_1","def_reb_rate_NBA_1","tot_reb_rate_NBA_1","assist_rate_NBA_1","steal_rate_NBA_1","block_rate_NBA_1","turnover_rate_NBA_1","usage_rate_NBA_1","off_win_shares_NBA_1","def_win_shares_NBA_1","win_shares_NBA_1","win_shares_per_48_NBA_1","off_BPM_NBA_1","def_BPM_NBA_1","BPM_NBA_1","VORP_NBA_1","position_NBA_2","age_NBA_2","team_name_NBA_2","games_played_NBA_2","minutes_played_NBA_2","PER_NBA_2","true_shooting_pct_NBA_2","three_pt_att_rate_NBA_2","free_throw_rate_NBA_2","off_reb_rate_NBA_2","def_reb_rate_NBA_2","tot_reb_rate_NBA_2","assist_rate_NBA_2","steal_rate_NBA_2","block_rate_NBA_2","turnover_rate_NBA_2","usage_rate_NBA_2","off_win_shares_NBA_2","def_win_shares_NBA_2","win_shares_NBA_2","win_shares_per_48_NBA_2","off_BPM_NBA_2","def_BPM_NBA_2","BPM_NBA_2","VORP_NBA_2","position_NBA_3","age_NBA_3","team_name_NBA_3","games_played_NBA_3","minutes_played_NBA_3","PER_NBA_3","true_shooting_pct_NBA_3","three_pt_att_rate_NBA_3","free_throw_rate_NBA_3","off_reb_rate_NBA_3","def_reb_rate_NBA_3","tot_reb_rate_NBA_3","assist_rate_NBA_3","steal_rate_NBA_3","block_rate_NBA_3","turnover_rate_NBA_3","usage_rate_NBA_3","off_win_shares_NBA_3","def_win_shares_NBA_3","win_shares_NBA_3","win_shares_per_48_NBA_3","off_BPM_NBA_3","def_BPM_NBA_3","BPM_NBA_3","VORP_NBA_3"
"1","Aaron Brooks","UO",0.589,0.546,171,0.029,0.109,0.069,0.24,0.144,0.022,0.005,0.244,0.8,1.3,120.9,99,22,412.2,21.1,"PG",23,"HOU",51,608,13.1,0.535,0.484,0.218,0.025,0.079,0.052,0.235,0.011,0.006,0.151,0.218,0.6,0.8,1.4,0.112,0,-1.8,-1.8,0,"PG",24,"HOU",80,1998,12.9,0.521,0.395,0.22,0.02,0.07,0.046,0.202,0.012,0.003,0.127,0.229,1.4,2.2,3.6,0.086,0.2,-1.5,-1.3,0.4,"PG",25,"HOU",82,2919,16,0.549,0.394,0.224,0.02,0.066,0.042,0.256,0.012,0.003,0.137,0.257,3.9,1.6,5.5,0.091,2.7,-2.5,0.2,1.6
"2","Aaron Gray","PITT",0.567,0.565,111.3,0.147,0.253,0.202,0.137,0.111,0.009,0.07,0.259,-1.5,1.4,117.9,92.1,25.7,489.2,27,"C",23,"CHI",61,613,13.9,0.529,0.005,0.485,0.125,0.187,0.155,0.114,0.018,0.02,0.187,0.22,0.1,0.8,0.8,0.066,-2.4,0.4,-2,0,"C",24,"CHI",56,715,11.5,0.508,0.006,0.353,0.135,0.217,0.176,0.096,0.01,0.018,0.172,0.145,0.5,0.8,1.3,0.086,-2.1,0.6,-1.5,0.1,"C",25,"NOH",24,261,18.4,0.612,0,0.344,0.177,0.229,0.202,0.114,0.018,0.032,0.195,0.153,0.6,0.3,0.9,0.172,0.5,2.2,2.8,0.3
"5","Acie Law","TAMU",0.591,0.544,173.6,0.009,0.102,0.06,0.309,0.145,0.021,0.001,0.279,2.2,1.4,118.2,92.9,25.3,386.9,22.5,"PG",23,"ATL",56,865,7.7,0.455,0.143,0.203,0.016,0.06,0.038,0.204,0.018,0,0.178,0.165,-0.5,0.4,-0.1,-0.007,-4.1,-2.6,-6.7,-1,"PG",24,"ATL",55,560,10.6,0.49,0.209,0.432,0.013,0.109,0.061,0.234,0.011,0.004,0.149,0.163,0.3,0.4,0.7,0.062,-3,-2,-5,-0.4,"PG",25,"CHA",9,33,7.5,0.419,0.063,0.438,0,0.036,0.018,0.16,0.016,0.025,0.136,0.311,-0.1,0,0,-0.066,-8.5,-3.4,-11.9,-0.1
"9","Al Horford","UF",0.624,0.608,125.1,0.122,0.272,0.205,0.148,0.145,0.016,0.067,0.227,-1.3,1.6,126.5,85.9,40.6,555.8,27.9,"C",21,"ATL",81,2540,14.7,0.539,0.007,0.317,0.114,0.245,0.18,0.079,0.012,0.022,0.153,0.16,2.4,3,5.5,0.103,-1.3,1.1,-0.2,1.2,"C",22,"ATL",67,2242,17,0.565,0.002,0.345,0.076,0.25,0.163,0.119,0.013,0.033,0.131,0.164,3.3,3.5,6.8,0.145,-0.7,3.1,2.3,2.5,"C",23,"ATL",81,2845,19.4,0.594,0.001,0.319,0.096,0.233,0.164,0.104,0.011,0.024,0.112,0.176,6.9,3.9,10.9,0.183,1.5,1.9,3.3,3.8
"10","Al Thornton","FSU",0.616,0.57,176.5,0.123,0.161,0.142,0.05,0.135,0.029,0.04,0.301,-6.4,1.5,121.5,98,23.5,463.5,28.7,"PF",24,"LAC",79,2158,12.7,0.504,0.149,0.331,0.052,0.14,0.096,0.084,0.011,0.015,0.114,0.241,-0.5,1.6,1.1,0.025,-2.5,-1.3,-3.8,-1,"SF",25,"LAC",71,2654,12.6,0.502,0.075,0.298,0.052,0.11,0.08,0.069,0.012,0.017,0.099,0.226,0.2,1,1.3,0.023,-2.3,-1.2,-3.5,-1,"SF",26,"TOT",75,2079,11.8,0.523,0.046,0.312,0.064,0.1,0.082,0.071,0.011,0.013,0.117,0.19,1.2,1,2.2,0.05,-1.9,-0.8,-2.7,-0.4
"13","Alando Tucker","UW",0.54,0.506,145.4,0.082,0.119,0.101,0.162,0.083,0.017,0.009,0.33,-1,1.3,116.2,93,23.2,410.6,25.7,"SF",23,"PHO",6,48,11.8,0.446,0.182,0.273,0.102,0.087,0.094,0,0,0.014,0,0.23,0,0,0,0.042,-4.5,-7.4,-11.8,-0.1,"SG",24,"PHO",30,282,13,0.509,0.19,0.273,0.082,0.048,0.064,0.064,0.009,0.003,0.094,0.233,0.2,0,0.2,0.039,-1.2,-4.6,-5.8,-0.3,"SF",25,"MIN",4,25,6.9,0.444,0,0,0.044,0.091,0.067,0.064,0,0,0.1,0.174,0,0,0,-0.047,-5.9,-4.1,-10,-0.1
"16","Amir Johnson","RU",0.535,0.502,147.5,0.024,0.118,0.071,0.222,0.243,0.036,0.006,0.201,-2.6,1.2,98.4,101.9,-3.5,227.9,14.2,"PF",20,"DET",62,764,17.5,0.584,0,0.333,0.135,0.232,0.184,0.059,0.017,0.085,0.171,0.141,1.1,1.9,3,0.19,-1.4,5.7,4.3,1.2,"PF",21,"DET",62,911,13.5,0.608,0,0.215,0.131,0.172,0.151,0.034,0.012,0.051,0.156,0.111,1.4,1.3,2.7,0.142,-1.3,2.5,1.1,0.7,"PF",22,"TOR",82,1453,16.7,0.639,0.012,0.446,0.129,0.191,0.161,0.05,0.016,0.035,0.136,0.145,3.4,1.1,4.5,0.15,1.4,0.8,2.1,1.5
"20","Arron Afflalo","UCLA",0.59,0.557,164.3,0.017,0.09,0.053,0.12,0.111,0.011,0.007,0.257,-1.6,1.3,117.6,98,19.6,301.2,19.5,"SG",22,"DET",75,970,10.2,0.494,0.199,0.361,0.044,0.125,0.084,0.081,0.018,0.007,0.109,0.152,0.5,1.4,1.9,0.092,-2.3,0.6,-1.6,0.1,"SG",23,"DET",74,1234,8.9,0.548,0.357,0.237,0.028,0.101,0.064,0.055,0.013,0.008,0.115,0.145,0.8,1,1.8,0.069,-1.7,-0.7,-2.4,-0.1,"SG",24,"DEN",82,2221,10.9,0.576,0.426,0.168,0.031,0.099,0.065,0.093,0.01,0.01,0.105,0.14,2.8,1.4,4.3,0.092,0.8,-0.5,0.3,1.3
"21","Carl Landry","PU",0.645,0.602,153.3,0.119,0.178,0.148,0.099,0.17,0.023,0.036,0.299,-7.2,1.8,119.2,92.9,26.3,438.4,28.1,"PF",24,"HOU",42,711,21.4,0.641,0.005,0.498,0.155,0.173,0.164,0.052,0.013,0.007,0.089,0.188,2.5,1.2,3.7,0.251,2.1,-0.3,1.8,0.7,"PF",25,"HOU",69,1467,17.7,0.634,0.007,0.462,0.103,0.167,0.136,0.046,0.009,0.015,0.119,0.181,3.7,2.2,5.9,0.193,0.2,0.2,0.4,0.9,"PF",26,"TOT",80,2469,19,0.6,0.003,0.459,0.085,0.134,0.109,0.046,0.011,0.019,0.108,0.225,5.8,1.9,7.7,0.15,0.4,-1.1,-0.7,0.8
"24","Corey Brewer","UF",0.572,0.53,153.2,0.049,0.135,0.096,0.187,0.178,0.038,0.014,0.248,-1.9,1.4,113.1,91.1,22,369.4,21.2,"SF",21,"MIN",79,1803,8.3,0.429,0.074,0.226,0.051,0.139,0.094,0.091,0.022,0.011,0.143,0.156,-1.4,1.2,-0.2,-0.005,-3.9,0.8,-3.2,-0.5,"SF",22,"MIN",15,307,11.2,0.473,0.133,0.211,0.066,0.123,0.093,0.129,0.026,0.008,0.117,0.163,0.1,0.3,0.3,0.052,-1.6,0.8,-0.8,0.1,"SG",23,"MIN",82,2482,12.1,0.502,0.25,0.27,0.031,0.096,0.063,0.125,0.024,0.009,0.134,0.215,-0.4,1.4,1,0.02,-1,-0.6,-1.6,0.2
