"","Player","team_name_college","true_shooting_pct_college","effective_field_goal_pct_college","total_shooting_pct_college","off_reb_rate_college","def_reb_rate_college","tot_reb_rate_college","assist_rate_college","turnover_rate_college","steal_rate_college","block_rate_college","usage_rate_college","pure_point_rating_college","points_per_shot_college","off_rating_college","def_rating_college","net_rating_college","floor_impact_counter_college","PER_college","position_NBA_1","age_NBA_1","team_name_NBA_1","games_played_NBA_1","minutes_played_NBA_1","PER_NBA_1","true_shooting_pct_NBA_1","three_pt_att_rate_NBA_1","free_throw_rate_NBA_1","off_reb_rate_NBA_1","def_reb_rate_NBA_1","tot_reb_rate_NBA_1","assist_rate_NBA_1","steal_rate_NBA_1","block_rate_NBA_1","turnover_rate_NBA_1","usage_rate_NBA_1","off_win_shares_NBA_1","def_win_shares_NBA_1","win_shares_NBA_1","win_shares_per_48_NBA_1","off_BPM_NBA_1","def_BPM_NBA_1","BPM_NBA_1","VORP_NBA_1","position_NBA_2","age_NBA_2","team_name_NBA_2","games_played_NBA_2","minutes_played_NBA_2","PER_NBA_2","true_shooting_pct_NBA_2","three_pt_att_rate_NBA_2","free_throw_rate_NBA_2","off_reb_rate_NBA_2","def_reb_rate_NBA_2","tot_reb_rate_NBA_2","assist_rate_NBA_2","steal_rate_NBA_2","block_rate_NBA_2","turnover_rate_NBA_2","usage_rate_NBA_2","off_win_shares_NBA_2","def_win_shares_NBA_2","win_shares_NBA_2","win_shares_per_48_NBA_2","off_BPM_NBA_2","def_BPM_NBA_2","BPM_NBA_2","VORP_NBA_2","position_NBA_3","age_NBA_3","team_name_NBA_3","games_played_NBA_3","minutes_played_NBA_3","PER_NBA_3","true_shooting_pct_NBA_3","three_pt_att_rate_NBA_3","free_throw_rate_NBA_3","off_reb_rate_NBA_3","def_reb_rate_NBA_3","tot_reb_rate_NBA_3","assist_rate_NBA_3","steal_rate_NBA_3","block_rate_NBA_3","turnover_rate_NBA_3","usage_rate_NBA_3","off_win_shares_NBA_3","def_win_shares_NBA_3","win_shares_NBA_3","win_shares_per_48_NBA_3","off_BPM_NBA_3","def_BPM_NBA_3","BPM_NBA_3","VORP_NBA_3"
"1","Al-Farouq Aminu","WF",0.524,0.471,141.8,0.145,0.206,0.176,0.091,0.174,0.026,0.045,0.276,-7,1.3,105,90.6,14.4,402.6,23,"SF",20,"LAC",81,1452,9.6,0.499,0.352,0.293,0.061,0.154,0.108,0.064,0.021,0.013,0.183,0.173,-0.8,1.4,0.7,0.022,-3.1,0.1,-3,-0.4,"SF",21,"NOH",66,1477,10.6,0.481,0.129,0.312,0.078,0.169,0.124,0.072,0.022,0.019,0.18,0.162,-0.4,1.8,1.4,0.044,-3,1.6,-1.3,0.2,"SF",22,"NOH",76,2066,13.7,0.519,0.04,0.289,0.079,0.262,0.169,0.078,0.024,0.021,0.178,0.146,0.7,2.4,3.1,0.073,-2,2.4,0.4,1.3
"2","Amir Johnson","RU",0.443,0.425,117.9,0.012,0.09,0.052,0.302,0.229,0.018,0.004,0.146,4.3,1,95.7,98.8,-3.1,201.6,9.8,"PF",23,"TOR",72,1853,17.6,0.608,0.002,0.323,0.118,0.178,0.147,0.068,0.015,0.036,0.109,0.153,4.4,1.2,5.6,0.146,1.5,1.1,2.7,2.2,"PF",24,"TOR",64,1553,14.4,0.6,0.015,0.247,0.114,0.194,0.154,0.087,0.011,0.036,0.2,0.143,1.9,2,4,0.122,-0.5,2.7,2.2,1.6,"PF",25,"TOR",81,2325,17.3,0.591,0.021,0.309,0.114,0.2,0.156,0.087,0.019,0.038,0.145,0.161,4.4,2.9,7.3,0.151,0.8,2.8,3.6,3.3
"3","Avery Bradley","UT",0.497,0.491,135.8,0.034,0.065,0.05,0.124,0.115,0.024,0.016,0.205,-0.4,1.1,106.4,97.7,8.8,219.5,14.2,"PG",20,"BOS",31,162,2.2,0.36,0.075,0.179,0.032,0.093,0.065,0.119,0.03,0,0.181,0.261,-0.8,0.3,-0.5,-0.139,-9.6,0,-9.7,-0.3,"PG",21,"BOS",64,1368,11.3,0.555,0.134,0.194,0.031,0.067,0.05,0.108,0.017,0.007,0.147,0.179,0.6,1.9,2.4,0.085,-1.6,0.3,-1.3,0.2,"PG",22,"BOS",50,1435,8.8,0.461,0.264,0.103,0.025,0.065,0.046,0.116,0.023,0.01,0.126,0.188,-1.3,1.6,0.4,0.012,-2.8,0.2,-2.7,-0.2
"4","Chris Johnson","DAY",0.569,0.523,162,0.112,0.206,0.161,0.072,0.103,0.024,0.016,0.244,-2.8,1.3,119.2,88.6,30.5,350.6,23.2,"C",25,"TOT",14,138,10.2,0.554,0,0.952,0.103,0.182,0.142,0.032,0.012,0.053,0.251,0.135,0,0.2,0.2,0.08,-4.9,2,-2.9,0,"C",26,"TOT",27,175,10.8,0.557,0,0.463,0.101,0.168,0.135,0.018,0.019,0.04,0.233,0.171,0,0.2,0.2,0.059,-4.8,0.2,-4.7,-0.1,"C",27,"MIN",30,284,18.4,0.65,0,0.453,0.078,0.166,0.121,0.049,0.013,0.076,0.126,0.162,0.6,0.4,1,0.176,-1.2,3.1,1.9,0.3
"22","Cole Aldrich","KU",0.596,0.562,124.2,0.134,0.254,0.199,0.058,0.141,0.016,0.13,0.2,-3.5,1.5,121,82.9,38.1,521.6,26,"C",22,"OKC",18,142,7,0.537,0,0.267,0.111,0.175,0.144,0.04,0.018,0.036,0.323,0.079,0,0.2,0.2,0.066,-3.4,2.6,-0.8,0,"C",23,"OKC",26,173,17.7,0.592,0,0.333,0.092,0.216,0.158,0.027,0.024,0.067,0.157,0.149,0.3,0.4,0.6,0.176,-2.4,2.7,0.3,0.1,"C",24,"SAC",15,175,15.7,0.598,0,0.297,0.115,0.304,0.207,0.026,0.006,0.063,0.177,0.129,0.2,0.2,0.4,0.109,-3.6,0.5,-3.1,-0.1
"25","Damion James","UT",0.579,0.545,155.9,0.109,0.238,0.175,0.061,0.116,0.03,0.036,0.263,-4.2,1.5,119.5,87.2,32.4,511.5,27.2,"SF",23,"NJN",25,403,10.1,0.477,0.029,0.272,0.048,0.205,0.125,0.081,0.021,0.023,0.178,0.162,-0.4,0.5,0.1,0.015,-5.1,1.7,-3.4,-0.1,"SF",24,"NJN",7,170,6.1,0.422,0.029,0.343,0.046,0.183,0.113,0.028,0.022,0.032,0.23,0.141,-0.3,0.1,-0.2,-0.043,-7.3,1.1,-6.3,-0.2,"SF",25,"BRK",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,-5.5,0.3,-5.2,0
"26","DeMarcus Cousins","UK",0.581,0.561,133.3,0.197,0.251,0.225,0.092,0.138,0.024,0.075,0.305,-5.7,1.6,118.4,83.4,35,520.9,31.9,"C",20,"SAC",81,2309,14.6,0.484,0.018,0.4,0.104,0.244,0.172,0.147,0.019,0.021,0.185,0.272,-1.9,2.9,1.1,0.022,-2.9,1.5,-1.4,0.4,"C",21,"SAC",64,1950,21.7,0.499,0.014,0.373,0.142,0.259,0.198,0.095,0.024,0.028,0.128,0.297,2.1,2.2,4.2,0.104,-0.4,0,-0.3,0.8,"C",22,"SAC",75,2289,20.2,0.524,0.021,0.408,0.109,0.27,0.187,0.153,0.024,0.019,0.155,0.281,2,2.3,4.4,0.092,0,1,1,1.7
"27","Derrick Favors","GT",0.621,0.611,124,0.124,0.205,0.166,0.079,0.2,0.019,0.081,0.218,-6.4,1.5,111.6,88.1,23.5,434.9,23.3,"PF",19,"TOT",78,1535,13.8,0.542,0,0.416,0.129,0.191,0.16,0.042,0.01,0.035,0.135,0.171,1.5,1.4,2.9,0.091,-2.1,0,-2.1,0,"PF",20,"UTA",65,1376,17.1,0.537,0,0.436,0.13,0.225,0.177,0.05,0.014,0.038,0.163,0.207,1.4,1.6,3,0.105,-1.3,0.5,-0.8,0.4,"PF",21,"UTA",77,1787,17.5,0.533,0.009,0.458,0.119,0.24,0.179,0.068,0.02,0.057,0.159,0.206,1.5,2.9,4.4,0.117,-1.7,2.7,1.1,1.4
"30","Devin Ebanks","WVU",0.527,0.462,132.7,0.096,0.175,0.135,0.15,0.162,0.019,0.022,0.204,-1.8,1.3,111.6,97.1,14.6,385.8,18.6,"SG",21,"LAL",20,118,19.4,0.507,0.098,0.451,0.149,0.111,0.13,0.028,0.018,0.032,0.089,0.259,0.2,0.2,0.4,0.144,-1.8,-2.5,-4.3,-0.1,"SG",22,"LAL",24,396,8.3,0.465,0.101,0.393,0.077,0.076,0.076,0.046,0.015,0.011,0.147,0.142,0,0.3,0.3,0.033,-3.2,-0.2,-3.4,-0.1,"SF",23,"LAL",19,197,6.3,0.411,0.301,0.192,0.057,0.169,0.115,0.078,0.008,0.004,0.122,0.204,-0.2,0.1,-0.1,-0.025,-5.4,-2.2,-7.6,-0.3
"31","Dexter Pittman","UT",0.638,0.654,121,0.163,0.153,0.158,0.051,0.177,0.01,0.089,0.237,-6.8,1.7,117.2,92.6,24.6,305.4,25.4,"C",22,"MIA",2,11,-6.4,0.333,0,0,0.115,0.204,0.162,0,0,0,0.4,0.213,-0.1,0,-0.1,-0.246,-15.7,-5.5,-21.2,-0.1,"C",23,"MIA",35,301,10.4,0.498,0,0.298,0.111,0.168,0.141,0.049,0.014,0.022,0.138,0.19,0.1,0.5,0.6,0.101,-3.4,-0.6,-4,-0.2,"C",24,"MIA",4,12,17,0.6,0,0,0.435,0.291,0.359,0,0,0,0.286,0.279,0,0,0,0.114,-3.6,-11.8,-15.5,0
"34","Dominique Jones","USF",0.562,0.503,150.3,0.036,0.15,0.094,0.244,0.135,0.028,0.016,0.311,-1.5,1.4,113.8,98.5,15.4,440,25.3,"SG",22,"DAL",18,135,10.6,0.4,0.089,0.378,0.054,0.159,0.108,0.208,0.019,0.017,0.16,0.217,-0.2,0.2,0,0.007,-5.1,1.7,-3.4,0,"SG",23,"DAL",33,268,11.8,0.493,0.11,0.507,0.038,0.146,0.092,0.246,0.02,0.015,0.239,0.203,-0.1,0.4,0.2,0.044,-3.9,1,-2.9,-0.1,"PG",24,"DAL",29,338,12.4,0.438,0.083,0.486,0.06,0.087,0.074,0.362,0.021,0.005,0.223,0.23,-0.2,0.2,0,0.001,-2.9,-1.4,-4.2,-0.2
