Player,team_name_college,true_shooting_pct_college,effective_field_goal_pct_college,total_shooting_pct_college,off_reb_rate_college,def_reb_rate_college,tot_reb_rate_college,assist_rate_college,turnover_rate_college,steal_rate_college,block_rate_college,usage_rate_college,pure_point_rating_college,points_per_shot_college,off_rating_college,def_rating_college,net_rating_college,floor_impact_counter_college,PER_college,true_shooting_pct,effective_field_goal_pct,total_shooting_pct,pure_point_rating,points_per_shot,off_rating,def_rating,net_rating,floor_impact_counter,PER
Brady Ernst,FGC,.614,.625,117.6,0.105,0.177,0.142,0.10300000000000001,0.233,0.01,0.036000000000000004,0.138,-2.8,1.6,111.3,102.6,8.6,132.1,13.9,0.614,0.625,117.6,-2.8,1.6,111.3,102.6,8.6,132.1,13.9
Josh Gantz,UML,.611,.586,167.8,0.05,0.095,0.073,0.151,0.17,0.015,0.025,0.15,0.6,1.4,117.6,106.0,11.7,289.6,13.9,0.611,0.586,167.8,0.6,1.4,117.6,106,11.7,289.6,13.9
Asante Gist,IC,.557,.513,155.2,0.017,0.07200000000000001,0.045,0.152,0.127,0.011000000000000001,0,0.218,-0.3,1.3,110.2,111.9,-1.7,204.1,13.9,0.557,0.513,155.2,-0.3,1.3,110.2,111.9,-1.7,204.1,13.9
Tre'Larenz Nottingham,TSU,.509,.462,143.4,0.015,0.131,0.07200000000000001,0.13,0.14,0.023,0.004,0.256,-2.9,1.2,102.1,95.0,7.0,225.5,13.9,0.509,0.462,143.4,-2.9,1.2,102.1,95,7,225.5,13.9
Dominik Olejniczak,UM,.603,.575,133.8,0.077,0.11599999999999999,0.09699999999999999,0.07,0.185,0.016,0.054000000000000006,0.15,-2.9,1.4,112.4,102.0,10.4,144.0,13.9,0.603,0.575,133.8,-2.9,1.4,112.4,102,10.4,144,13.9
J.D. Williams,ULM,.556,.500,159.4,0.028999999999999998,0.114,0.07200000000000001,0.095,0.159,0.018000000000000002,0.021,0.203,-3.0,1.3,105.9,107.8,-1.9,259.6,13.9,0.556,0.5,159.4,-3,1.3,105.9,107.8,-1.9,259.6,13.9
Elijah Schmidt,TAMU-CC,.574,.586,107.7,0.098,0.183,0.14,0.08199999999999999,0.20800000000000002,0.013999999999999999,0.037000000000000005,0.15,-3.5,1.4,104.9,96.8,8.1,194.4,13.9,0.574,0.586,107.7,-3.5,1.4,104.9,96.8,8.1,194.4,13.9
DeAndre Abram,UWM,.487,.462,146.6,0.038,0.201,0.12,0.069,0.109,0.013000000000000001,0.028999999999999998,0.22,-2.5,1.1,98.0,106.3,-8.3,252.1,13.9,0.487,0.462,146.6,-2.5,1.1,98,106.3,-8.3,252.1,13.9
Jalen Adaway,MU,.560,.544,149.3,0.04,0.187,0.11199999999999999,0.057,0.084,0.008,0.011000000000000001,0.147,-0.6,1.3,116.8,102.3,14.4,195.1,13.9,0.56,0.544,149.3,-0.6,1.3,116.8,102.3,14.4,195.1,13.9
Shawntrez Davis,BCU,.480,.466,128.4,0.07400000000000001,0.179,0.128,0.111,0.139,0.015,0.033,0.207,-2.3,1.1,100.2,93.6,6.6,178.6,13.9,0.48,0.466,128.4,-2.3,1.1,100.2,93.6,6.6,178.6,13.9
Terry Nolan,GW,.506,.467,132.9,0.019,0.165,0.092,0.147,0.13699999999999998,0.021,0.017,0.226,-1.6,1.3,98.5,100.1,-1.7,187.5,13.8,0.506,0.467,132.9,-1.6,1.3,98.5,100.1,-1.7,187.5,13.8
Gerrale Gates,UNO,.520,.472,147.8,0.066,0.157,0.11,0.12,0.16399999999999998,0.016,0.021,0.182,-1.9,1.3,104.3,98.5,5.8,220.2,13.8,0.52,0.472,147.8,-1.9,1.3,104.3,98.5,5.8,220.2,13.8
Tristin Walley,ASU,.487,.417,135.9,0.08900000000000001,0.163,0.125,0.10400000000000001,0.11900000000000001,0.012,0.027000000000000003,0.17,-0.5,1.2,110.4,107.9,2.5,208.5,13.8,0.487,0.417,135.9,-0.5,1.2,110.4,107.9,2.5,208.5,13.8
Landon Taliaferro,FU,.557,.543,155.9,0.012,0.077,0.043,0.07400000000000001,0.086,0.013999999999999999,0.004,0.218,-1.3,1.2,108.6,106.8,1.7,166.0,13.8,0.557,0.543,155.9,-1.3,1.2,108.6,106.8,1.7,166,13.8
Shea Feehan,UE,.570,.507,162.6,0.016,0.095,0.055999999999999994,0.094,0.098,0.013000000000000001,0.006999999999999999,0.203,-0.9,1.3,110.2,104.7,5.5,151.2,13.8,0.57,0.507,162.6,-0.9,1.3,110.2,104.7,5.5,151.2,13.8
Marcellus Garrick,POLY,.513,.475,150.0,0.018000000000000002,0.105,0.059000000000000004,0.055,0.085,0.013999999999999999,0,0.24,-2.3,1.2,103.8,113.4,-9.5,139.6,13.8,0.513,0.475,150,-2.3,1.2,103.8,113.4,-9.5,139.6,13.8
Anthony Townes,PAC,.539,.500,119.6,0.10800000000000001,0.184,0.145,0.015,0.161,0.016,0.02,0.185,-5.4,1.3,104.0,103.5,0.5,168.6,13.8,0.539,0.5,119.6,-5.4,1.3,104,103.5,0.5,168.6,13.8
