"","Player","team_name_college","true_shooting_pct_college","effective_field_goal_pct_college","total_shooting_pct_college","off_reb_rate_college","def_reb_rate_college","tot_reb_rate_college","assist_rate_college","turnover_rate_college","steal_rate_college","block_rate_college","usage_rate_college","pure_point_rating_college","points_per_shot_college","off_rating_college","def_rating_college","net_rating_college","floor_impact_counter_college","PER_college","position_NBA_1","age_NBA_1","team_name_NBA_1","games_played_NBA_1","minutes_played_NBA_1","PER_NBA_1","true_shooting_pct_NBA_1","three_pt_att_rate_NBA_1","free_throw_rate_NBA_1","off_reb_rate_NBA_1","def_reb_rate_NBA_1","tot_reb_rate_NBA_1","assist_rate_NBA_1","steal_rate_NBA_1","block_rate_NBA_1","turnover_rate_NBA_1","usage_rate_NBA_1","off_win_shares_NBA_1","def_win_shares_NBA_1","win_shares_NBA_1","win_shares_per_48_NBA_1","off_BPM_NBA_1","def_BPM_NBA_1","BPM_NBA_1","VORP_NBA_1","position_NBA_2","age_NBA_2","team_name_NBA_2","games_played_NBA_2","minutes_played_NBA_2","PER_NBA_2","true_shooting_pct_NBA_2","three_pt_att_rate_NBA_2","free_throw_rate_NBA_2","off_reb_rate_NBA_2","def_reb_rate_NBA_2","tot_reb_rate_NBA_2","assist_rate_NBA_2","steal_rate_NBA_2","block_rate_NBA_2","turnover_rate_NBA_2","usage_rate_NBA_2","off_win_shares_NBA_2","def_win_shares_NBA_2","win_shares_NBA_2","win_shares_per_48_NBA_2","off_BPM_NBA_2","def_BPM_NBA_2","BPM_NBA_2","VORP_NBA_2","position_NBA_3","age_NBA_3","team_name_NBA_3","games_played_NBA_3","minutes_played_NBA_3","PER_NBA_3","true_shooting_pct_NBA_3","three_pt_att_rate_NBA_3","free_throw_rate_NBA_3","off_reb_rate_NBA_3","def_reb_rate_NBA_3","tot_reb_rate_NBA_3","assist_rate_NBA_3","steal_rate_NBA_3","block_rate_NBA_3","turnover_rate_NBA_3","usage_rate_NBA_3","off_win_shares_NBA_3","def_win_shares_NBA_3","win_shares_NBA_3","win_shares_per_48_NBA_3","off_BPM_NBA_3","def_BPM_NBA_3","BPM_NBA_3","VORP_NBA_3"
"1","Alex Poythress","UK",0.643,0.619,161.1,0.088,0.194,0.143,0.025,0.131,0.015,0.028,0.19,-4.2,1.6,125.4,96.6,28.7,241.2,20,"PF",23,"PHI",6,157,13.2,0.548,0.352,0.185,0.077,0.127,0.102,0.051,0.009,0.01,0.049,0.169,0.2,0.1,0.3,0.099,-0.6,-1.9,-2.5,0,"PF",24,"IND",25,104,7.8,0.5,0.423,0,0.077,0.108,0.092,0.026,0.014,0.009,0.071,0.12,0.1,0.1,0.1,0.066,-2.3,-1.7,-4,-0.1,"PF",25,"ATL",21,305,12.2,0.571,0.284,0.358,0.098,0.166,0.131,0.077,0.006,0.028,0.122,0.142,0.4,0.2,0.5,0.086,-1.6,-0.7,-2.2,0
"2","Brandon Ingram","DUKE",0.552,0.525,153.5,0.061,0.154,0.108,0.113,0.113,0.019,0.036,0.255,-2,1.3,114.9,103.4,11.5,448,21.4,"SF",19,"LAL",79,2279,8.5,0.474,0.273,0.312,0.028,0.127,0.076,0.105,0.011,0.013,0.129,0.168,-1,0.7,-0.3,-0.007,-3.1,-0.7,-3.8,-1.1,"SF",20,"LAL",59,1975,13.8,0.536,0.138,0.371,0.031,0.138,0.085,0.177,0.011,0.018,0.144,0.222,1,1.8,2.8,0.068,-1.6,0.3,-1.3,0.4,"SF",21,"LAL",52,1760,13.4,0.555,0.129,0.396,0.025,0.13,0.078,0.129,0.007,0.014,0.131,0.232,0.6,1.4,2,0.055,-2.2,-0.6,-2.8,-0.3
"3","Bryn Forbes","MSU",0.667,0.644,180.2,0.015,0.065,0.042,0.097,0.073,0.009,0.001,0.211,0.5,1.5,134.6,101.8,32.7,288.9,19.2,"SG",23,"SAS",36,285,5.9,0.462,0.535,0.061,0.008,0.082,0.046,0.117,0.002,0,0.098,0.179,-0.2,0.2,0.1,0.014,-3.2,-2.8,-6,-0.3,"SG",24,"SAS",80,1517,9.1,0.525,0.459,0.145,0.009,0.072,0.04,0.078,0.009,0.001,0.065,0.167,0.8,1.3,2.1,0.067,-1.2,-1.9,-3.1,-0.4,"SG",25,"SAS",82,2293,12,0.586,0.522,0.099,0.009,0.104,0.057,0.106,0.01,0.001,0.088,0.174,2.5,1.3,3.8,0.079,1,-1.7,-0.7,0.7
"4","Buddy Hield","OU",0.665,0.623,183.7,0.04,0.13,0.088,0.127,0.14,0.018,0.014,0.302,-4.7,1.5,124.1,100.7,23.4,553.8,26.7,"SG",24,"TOT",82,1888,11.8,0.541,0.494,0.099,0.02,0.135,0.078,0.103,0.01,0.004,0.112,0.213,0,1.3,1.3,0.032,-0.9,-1.9,-2.7,-0.4,"SG",25,"SAC",80,2024,16.1,0.557,0.437,0.087,0.03,0.148,0.086,0.128,0.021,0.01,0.113,0.243,1.3,1.5,2.8,0.067,1.2,-1.4,-0.2,0.9,"SG",26,"SAC",82,2615,17.5,0.587,0.479,0.142,0.041,0.124,0.081,0.119,0.01,0.011,0.092,0.251,4.3,1.6,5.9,0.108,3.1,-2,1.1,2.1
"7","Damian Jones","VU",0.584,0.59,112.5,0.099,0.174,0.139,0.102,0.142,0.005,0.059,0.268,-4.6,1.5,110.4,94.8,15.6,330.8,22,"C",21,"GSW",10,85,5.3,0.466,0,0.625,0.124,0.17,0.148,0,0.006,0.037,0.227,0.134,-0.1,0.1,0,0.018,-7.5,-2.1,-9.6,-0.2,"C",22,"GSW",15,89,6.8,0.517,0,0.227,0.068,0.106,0.088,0.029,0.005,0.027,0.142,0.139,0,0.1,0.1,0.031,-4.9,-1.7,-6.6,-0.1,"C",23,"GSW",24,410,15.3,0.72,0,0.5,0.084,0.11,0.098,0.087,0.014,0.051,0.151,0.111,1,0.5,1.5,0.173,0.5,2.5,3,0.5
"8","Danuel House","TAMU",0.515,0.475,141.9,0.039,0.128,0.084,0.138,0.105,0.01,0.012,0.268,-1.1,1.2,108.4,99,9.4,305.1,16.7,"SG",23,"WAS",1,1,12.2,NA,NA,NA,0,1,0.564,0,0,0,NA,0,0,0,0,0.163,-16.4,-4.4,-20.8,0,"SG",24,"PHO",23,403,12.4,0.533,0.45,0.24,0.034,0.17,0.101,0.094,0.008,0.012,0.072,0.162,0.4,0.1,0.6,0.066,-1.2,-1.5,-2.7,-0.1,"SF",25,"HOU",39,979,12.2,0.646,0.706,0.282,0.028,0.133,0.079,0.059,0.011,0.01,0.11,0.141,1.6,0.7,2.3,0.113,0.4,-1.1,-0.6,0.3
"9","David Nwaba","POLY",0.508,0.465,122.7,0.081,0.176,0.126,0.271,0.144,0.026,0.017,0.259,1,1.3,107.5,105.9,1.7,317.1,20.9,"SG",24,"LAL",20,397,12.2,0.611,0.062,0.481,0.045,0.131,0.087,0.05,0.016,0.014,0.101,0.118,0.6,0.2,0.8,0.091,-1.7,-0.3,-1.9,0,"SG",25,"CHI",70,1646,12.2,0.542,0.123,0.48,0.056,0.16,0.106,0.094,0.017,0.016,0.131,0.156,1.1,1.4,2.4,0.071,-2.5,0.9,-1.7,0.1,"SG",26,"CLE",51,984,12.5,0.558,0.286,0.324,0.044,0.144,0.092,0.081,0.018,0.015,0.088,0.146,1.1,0.3,1.4,0.069,-1.1,-0.6,-1.7,0.1
"10","DeAndre' Bembry","SJU",0.539,0.513,140.2,0.043,0.179,0.113,0.241,0.112,0.022,0.025,0.243,2.5,1.3,113.2,96.6,16.6,534.5,21.3,"SF",22,"ATL",38,371,8.8,0.481,0.184,0.163,0.042,0.131,0.087,0.115,0.011,0.012,0.132,0.142,-0.1,0.4,0.3,0.038,-4.4,0.1,-4.3,-0.2,"SF",23,"ATL",26,455,7.6,0.477,0.234,0.258,0.02,0.157,0.088,0.159,0.023,0.023,0.248,0.182,-0.9,0.5,-0.4,-0.04,-5.9,1.5,-4.4,-0.3,"SG",24,"ATL",82,1931,10.8,0.508,0.281,0.221,0.029,0.169,0.097,0.147,0.025,0.018,0.174,0.172,-0.9,1.7,0.9,0.022,-3.3,1.1,-2.2,-0.1
"11","Demetrius Jackson","ND",0.56,0.514,159.5,0.031,0.079,0.056,0.25,0.133,0.021,0.008,0.241,2.8,1.3,118.3,110.5,7.8,385.4,19.9,"PG",22,"BOS",5,17,30.8,0.753,0.25,1.5,0.132,0.13,0.131,0.282,0,0,0,0.173,0.1,0,0.1,0.386,9.2,-2.8,6.3,0,"PG",23,"PHI",3,17,24.5,0.82,0.25,0.5,0.066,0,0.032,0.351,0.028,0,0.17,0.148,0.1,0,0.1,0.298,5,-4,1,0,"PG",24,"PHI",6,39,21,0.656,0.4,0.267,0.056,0.026,0.041,0.196,0.024,0,0.056,0.191,0.2,0,0.2,0.231,4.4,-3.4,1,0
"14","Derrick Jones","UNLV",0.611,0.607,138.8,0.085,0.134,0.109,0.08,0.113,0.023,0.062,0.232,-2.9,1.6,118.7,93.5,25.2,252.9,22.6,"SF",19,"PHO",32,545,12,0.604,0.091,0.339,0.076,0.082,0.079,0.031,0.012,0.019,0.086,0.117,0.9,0.2,1.1,0.098,-0.5,-0.6,-1.1,0.1,"SF",20,"TOT",20,245,10.1,0.48,0.34,0.453,0.096,0.078,0.087,0.051,0.008,0.044,0.099,0.128,0.1,0.2,0.4,0.075,-2.7,0.7,-2,0,"SF",21,"MIA",60,1153,14,0.559,0.281,0.377,0.088,0.133,0.111,0.047,0.019,0.033,0.102,0.156,1.2,1.7,2.9,0.121,-1.3,1.5,0.2,0.6
