"","Player","team_name_college","true_shooting_pct_college","effective_field_goal_pct_college","total_shooting_pct_college","off_reb_rate_college","def_reb_rate_college","tot_reb_rate_college","assist_rate_college","turnover_rate_college","steal_rate_college","block_rate_college","usage_rate_college","pure_point_rating_college","points_per_shot_college","off_rating_college","def_rating_college","net_rating_college","floor_impact_counter_college","PER_college","position_NBA_1","age_NBA_1","team_name_NBA_1","games_played_NBA_1","minutes_played_NBA_1","PER_NBA_1","true_shooting_pct_NBA_1","three_pt_att_rate_NBA_1","free_throw_rate_NBA_1","off_reb_rate_NBA_1","def_reb_rate_NBA_1","tot_reb_rate_NBA_1","assist_rate_NBA_1","steal_rate_NBA_1","block_rate_NBA_1","turnover_rate_NBA_1","usage_rate_NBA_1","off_win_shares_NBA_1","def_win_shares_NBA_1","win_shares_NBA_1","win_shares_per_48_NBA_1","off_BPM_NBA_1","def_BPM_NBA_1","BPM_NBA_1","VORP_NBA_1","position_NBA_2","age_NBA_2","team_name_NBA_2","games_played_NBA_2","minutes_played_NBA_2","PER_NBA_2","true_shooting_pct_NBA_2","three_pt_att_rate_NBA_2","free_throw_rate_NBA_2","off_reb_rate_NBA_2","def_reb_rate_NBA_2","tot_reb_rate_NBA_2","assist_rate_NBA_2","steal_rate_NBA_2","block_rate_NBA_2","turnover_rate_NBA_2","usage_rate_NBA_2","off_win_shares_NBA_2","def_win_shares_NBA_2","win_shares_NBA_2","win_shares_per_48_NBA_2","off_BPM_NBA_2","def_BPM_NBA_2","BPM_NBA_2","VORP_NBA_2","position_NBA_3","age_NBA_3","team_name_NBA_3","games_played_NBA_3","minutes_played_NBA_3","PER_NBA_3","true_shooting_pct_NBA_3","three_pt_att_rate_NBA_3","free_throw_rate_NBA_3","off_reb_rate_NBA_3","def_reb_rate_NBA_3","tot_reb_rate_NBA_3","assist_rate_NBA_3","steal_rate_NBA_3","block_rate_NBA_3","turnover_rate_NBA_3","usage_rate_NBA_3","off_win_shares_NBA_3","def_win_shares_NBA_3","win_shares_NBA_3","win_shares_per_48_NBA_3","off_BPM_NBA_3","def_BPM_NBA_3","BPM_NBA_3","VORP_NBA_3"
"1","Alex Len","UMD",0.57,0.535,134.5,0.132,0.194,0.165,0.078,0.131,0.005,0.08,0.228,-3.5,1.4,116.2,91.8,24.4,415.4,23,"C",20,"PHO",42,362,7.3,0.469,0,0.397,0.121,0.186,0.153,0.016,0.006,0.038,0.221,0.143,-0.2,0.4,0.2,0.024,-5.7,-0.2,-5.9,-0.4,"C",21,"PHO",69,1518,13.5,0.542,0.008,0.295,0.102,0.227,0.164,0.031,0.011,0.053,0.157,0.137,1.2,2.1,3.4,0.107,-3.3,2.3,-1,0.4,"C",22,"PHO",78,1821,12.4,0.482,0.011,0.383,0.104,0.254,0.177,0.085,0.01,0.028,0.166,0.204,-0.5,1.8,1.3,0.035,-4.4,0.7,-3.6,-0.7
"2","Allen Crabbe","Cal",0.568,0.528,162,0.033,0.148,0.094,0.162,0.135,0.019,0.019,0.266,-2.1,1.3,110.8,96.3,14.5,391.6,21.3,"SG",21,"POR",15,100,7.7,0.475,0.424,0.121,0.011,0.085,0.048,0.087,0.01,0.007,0.079,0.165,0,0.1,0.1,0.037,-2.7,-2.1,-4.7,-0.1,"SG",22,"POR",51,683,8.7,0.525,0.556,0.105,0.011,0.101,0.057,0.081,0.014,0.016,0.086,0.115,0.5,0.8,1.3,0.088,-1.3,1,-0.3,0.3,"SG",23,"POR",81,2105,12.2,0.572,0.42,0.167,0.014,0.097,0.056,0.072,0.015,0.006,0.081,0.164,3.1,1.2,4.3,0.098,0.4,-1.1,-0.7,0.7
"3","Andre Roberson","CU",0.524,0.515,135.9,0.106,0.272,0.192,0.094,0.187,0.039,0.044,0.199,-4.4,1.2,102.4,84.2,18.2,416.8,21,"SG",22,"OKC",40,399,9,0.518,0.191,0.147,0.107,0.156,0.133,0.052,0.024,0.02,0.208,0.101,0.2,0.6,0.8,0.099,-2.2,1.9,-0.3,0.2,"SG",23,"OKC",67,1286,9.1,0.513,0.423,0.239,0.051,0.16,0.106,0.074,0.021,0.018,0.172,0.09,0.5,1.6,2.1,0.079,-1.8,2.1,0.3,0.7,"SG",24,"OKC",70,1553,10.2,0.566,0.376,0.197,0.059,0.114,0.088,0.04,0.017,0.02,0.105,0.091,1.8,1.6,3.4,0.105,0,1.3,1.4,1.3
"4","Anthony Bennett","UNLV",0.609,0.58,160.9,0.103,0.218,0.163,0.088,0.123,0.015,0.046,0.275,-4.3,1.5,117.6,88.5,29.1,444.6,26.7,"PF",20,"CLE",52,663,6.9,0.425,0.236,0.307,0.081,0.184,0.131,0.04,0.016,0.01,0.155,0.203,-1.1,0.7,-0.4,-0.028,-5.8,-1.5,-7.3,-0.9,"PF",21,"MIN",57,894,11.4,0.458,0.077,0.215,0.065,0.216,0.138,0.087,0.015,0.014,0.1,0.178,-0.1,0.4,0.3,0.017,-3.6,-1.2,-4.8,-0.6,"PF",22,"TOR",19,84,10.4,0.446,0.519,0.37,0.083,0.228,0.157,0,0.031,0,0.113,0.192,0,0.1,0.1,0.054,-4.8,-4.6,-9.4,-0.2
"5","Archie Goodwin","UK",0.509,0.464,134.2,0.056,0.104,0.082,0.168,0.181,0.021,0.014,0.272,-4,1.3,100.1,97.8,2.3,234.8,16.2,"SG",19,"PHO",52,533,10.3,0.507,0.216,0.329,0.053,0.13,0.092,0.057,0.019,0.016,0.187,0.194,-0.3,0.5,0.2,0.018,-3.9,-0.4,-4.3,-0.3,"SG",20,"PHO",41,535,11.2,0.486,0.204,0.413,0.055,0.097,0.076,0.126,0.017,0.013,0.168,0.234,-0.2,0.4,0.2,0.014,-3.3,-1.2,-4.5,-0.3,"PG",21,"PHO",57,1114,11.1,0.498,0.235,0.457,0.026,0.115,0.069,0.172,0.012,0.01,0.165,0.232,-0.4,0.5,0.1,0.004,-2.9,-1.7,-4.6,-0.7
"6","Ben McLemore","KU",0.633,0.586,178.4,0.05,0.124,0.091,0.126,0.142,0.018,0.023,0.233,-2.3,1.5,121.4,92.3,29.1,416.5,21.9,"SG",20,"SAC",82,2187,7.7,0.485,0.437,0.211,0.027,0.095,0.061,0.058,0.01,0.007,0.115,0.169,-0.1,0.9,0.8,0.016,-1.8,-1.3,-3.2,-0.6,"SG",21,"SAC",82,2670,10.4,0.552,0.471,0.193,0.014,0.086,0.051,0.084,0.015,0.006,0.133,0.172,1.7,0.8,2.5,0.045,0.4,-1.3,-0.8,0.8,"SG",22,"SAC",68,1443,8.6,0.531,0.407,0.226,0.026,0.085,0.056,0.079,0.017,0.006,0.165,0.176,-0.4,0.7,0.3,0.01,-2,-1.2,-3.2,-0.4
"7","Chris Johnson","STBN",0.544,0.487,159.2,0.048,0.094,0.072,0.123,0.121,0.018,0.003,0.234,-1.6,1.3,111.6,108.6,3,180.9,16.1,"SF",23,"BOS",40,789,10.8,0.537,0.593,0.201,0.043,0.098,0.07,0.06,0.018,0.004,0.086,0.143,0.9,0.5,1.4,0.085,0.1,-0.9,-0.8,0.2,"SF",24,"PHI",9,187,6,0.425,0.65,0.133,0.017,0.14,0.075,0.027,0.024,0.022,0.124,0.169,-0.3,0.2,-0.1,-0.017,-5.6,-0.6,-6.2,-0.2,"SF",25,"UTA",70,857,8.2,0.482,0.51,0.216,0.037,0.143,0.09,0.08,0.02,0.02,0.158,0.136,-0.1,1.2,1.1,0.059,-2.7,1.3,-1.4,0.1
"11","Cody Zeller","IU",0.623,0.562,131.9,0.123,0.187,0.158,0.094,0.145,0.021,0.044,0.265,-4.6,1.7,124.3,88.1,36.2,481.4,27.9,"C",21,"CHA",82,1416,13.1,0.498,0.002,0.495,0.094,0.188,0.141,0.104,0.015,0.023,0.15,0.189,0.4,2.2,2.6,0.09,-3.2,1.8,-1.3,0.2,"C",22,"CHO",62,1487,14.1,0.53,0.003,0.44,0.07,0.201,0.134,0.109,0.012,0.026,0.122,0.156,1.6,2.2,3.8,0.123,-2.1,2.5,0.4,0.9,"C",23,"CHO",73,1774,16.1,0.592,0.023,0.531,0.084,0.197,0.14,0.063,0.016,0.029,0.112,0.154,3.6,2.7,6.3,0.169,-1,2,1,1.3
"12","Dewayne Dedmon","USC",0.524,0.5,118.1,0.118,0.241,0.18,0.059,0.198,0.029,0.101,0.185,-5.2,1.2,98.2,88.4,9.8,261.4,18.9,"C",24,"TOT",31,390,10.7,0.5,0,0.386,0.107,0.258,0.181,0.019,0.009,0.045,0.156,0.131,0.1,0.5,0.6,0.07,-6,0,-6,-0.4,"C",25,"ORL",59,845,13.3,0.568,0.006,0.395,0.155,0.241,0.197,0.016,0.01,0.048,0.211,0.13,0.7,1,1.7,0.099,-3.6,0.3,-3.3,-0.3,"C",26,"ORL",58,705,17,0.606,0,0.429,0.104,0.257,0.179,0.027,0.016,0.054,0.132,0.152,1.2,1.1,2.4,0.162,-2.6,1.3,-1.3,0.1
"16","Gorgui Dieng","U of L",0.562,0.534,118.6,0.129,0.223,0.176,0.126,0.17,0.026,0.094,0.171,-1.5,1.4,115.7,81.5,34.2,457.8,22.4,"C",24,"MIN",60,818,16.5,0.534,0.004,0.41,0.134,0.269,0.2,0.072,0.018,0.046,0.168,0.168,0.7,1.5,2.2,0.129,-2.4,3.1,0.7,0.5,"C",25,"MIN",73,2193,17.2,0.573,0.012,0.477,0.113,0.208,0.159,0.105,0.016,0.045,0.169,0.15,3.4,1.5,4.9,0.108,0.1,2.4,2.5,2.5,"C",26,"MIN",82,2220,17.1,0.601,0.035,0.428,0.083,0.221,0.153,0.101,0.021,0.035,0.169,0.167,3.4,2.5,5.9,0.127,0,2.4,2.4,2.5
