"","Player","team_name_college","true_shooting_pct_college","effective_field_goal_pct_college","total_shooting_pct_college","off_reb_rate_college","def_reb_rate_college","tot_reb_rate_college","assist_rate_college","turnover_rate_college","steal_rate_college","block_rate_college","usage_rate_college","pure_point_rating_college","points_per_shot_college","off_rating_college","def_rating_college","net_rating_college","floor_impact_counter_college","PER_college","position_NBA_1","age_NBA_1","team_name_NBA_1","games_played_NBA_1","minutes_played_NBA_1","PER_NBA_1","true_shooting_pct_NBA_1","three_pt_att_rate_NBA_1","free_throw_rate_NBA_1","off_reb_rate_NBA_1","def_reb_rate_NBA_1","tot_reb_rate_NBA_1","assist_rate_NBA_1","steal_rate_NBA_1","block_rate_NBA_1","turnover_rate_NBA_1","usage_rate_NBA_1","off_win_shares_NBA_1","def_win_shares_NBA_1","win_shares_NBA_1","win_shares_per_48_NBA_1","off_BPM_NBA_1","def_BPM_NBA_1","BPM_NBA_1","VORP_NBA_1","position_NBA_2","age_NBA_2","team_name_NBA_2","games_played_NBA_2","minutes_played_NBA_2","PER_NBA_2","true_shooting_pct_NBA_2","three_pt_att_rate_NBA_2","free_throw_rate_NBA_2","off_reb_rate_NBA_2","def_reb_rate_NBA_2","tot_reb_rate_NBA_2","assist_rate_NBA_2","steal_rate_NBA_2","block_rate_NBA_2","turnover_rate_NBA_2","usage_rate_NBA_2","off_win_shares_NBA_2","def_win_shares_NBA_2","win_shares_NBA_2","win_shares_per_48_NBA_2","off_BPM_NBA_2","def_BPM_NBA_2","BPM_NBA_2","VORP_NBA_2","position_NBA_3","age_NBA_3","team_name_NBA_3","games_played_NBA_3","minutes_played_NBA_3","PER_NBA_3","true_shooting_pct_NBA_3","three_pt_att_rate_NBA_3","free_throw_rate_NBA_3","off_reb_rate_NBA_3","def_reb_rate_NBA_3","tot_reb_rate_NBA_3","assist_rate_NBA_3","steal_rate_NBA_3","block_rate_NBA_3","turnover_rate_NBA_3","usage_rate_NBA_3","off_win_shares_NBA_3","def_win_shares_NBA_3","win_shares_NBA_3","win_shares_per_48_NBA_3","off_BPM_NBA_3","def_BPM_NBA_3","BPM_NBA_3","VORP_NBA_3"
"1","A.J. Price","UConn",0.538,0.506,153.1,0.021,0.09,0.058,0.283,0.164,0.013,0,0.252,1.3,1.2,110.7,98.2,12.4,322.4,17.8,"PG",23,"IND",56,865,14,0.53,0.492,0.212,0.015,0.097,0.056,0.205,0.02,0.002,0.132,0.227,0.4,0.8,1.2,0.065,0.2,-2,-1.8,0,"PG",24,"IND",50,795,10.7,0.454,0.466,0.253,0.023,0.078,0.05,0.227,0.018,0.001,0.13,0.227,-0.4,0.7,0.3,0.02,-1.1,-2.3,-3.4,-0.3,"PG",25,"IND",44,568,11.5,0.454,0.506,0.201,0.026,0.094,0.06,0.239,0.019,0.003,0.145,0.177,0.2,0.5,0.7,0.063,-0.2,-1.7,-1.9,0
"2","Alonzo Gee","UA",0.506,0.476,143.4,0.101,0.138,0.121,0.083,0.133,0.017,0.021,0.255,-4.3,1.2,106.1,99.1,7,304.6,19.1,"SG",22,"WAS",11,182,16.2,0.564,0.153,0.492,0.093,0.116,0.104,0.064,0.02,0.004,0.122,0.204,0.3,0.1,0.4,0.108,0.2,-1.6,-1.4,0,"SG",23,"TOT",56,1118,10.8,0.544,0.193,0.348,0.062,0.127,0.093,0.054,0.018,0.012,0.153,0.145,0.5,0.6,1,0.045,-2.2,-0.1,-2.3,-0.1,"SG",24,"CLE",63,1827,13.2,0.516,0.249,0.385,0.061,0.143,0.1,0.106,0.024,0.007,0.15,0.187,1.2,1.2,2.4,0.063,-0.5,0.1,-0.5,0.7
"6","Amir Johnson","RU",0.519,0.475,147.1,0.008,0.124,0.07,0.25,0.266,0.025,0.003,0.165,0.3,1.2,98.1,98.7,-0.5,276.2,12.1,"PF",22,"TOR",82,1453,16.7,0.639,0.012,0.446,0.129,0.191,0.161,0.05,0.016,0.035,0.136,0.145,3.4,1.1,4.5,0.15,1.4,0.8,2.1,1.5,"PF",23,"TOR",72,1853,17.6,0.608,0.002,0.323,0.118,0.178,0.147,0.068,0.015,0.036,0.109,0.153,4.4,1.2,5.6,0.146,1.5,1.1,2.7,2.2,"PF",24,"TOR",64,1553,14.4,0.6,0.015,0.247,0.114,0.194,0.154,0.087,0.011,0.036,0.2,0.143,1.9,2,4,0.122,-0.5,2.7,2.2,1.6
"7","Austin Daye","GU",0.56,0.532,161.2,0.05,0.228,0.148,0.078,0.161,0.016,0.086,0.261,-5.5,1.3,104.7,84.6,20.1,332.6,21.6,"SF",21,"DET",69,915,12.8,0.546,0.322,0.19,0.042,0.198,0.115,0.063,0.015,0.024,0.131,0.185,0.6,0.7,1.3,0.067,-1.9,-0.8,-2.7,-0.2,"SF",22,"DET",72,1446,13,0.518,0.365,0.229,0.052,0.186,0.116,0.085,0.015,0.022,0.102,0.186,1.2,0.9,2.1,0.07,-0.6,-0.7,-1.3,0.3,"SF",23,"DET",41,603,7.1,0.394,0.273,0.189,0.027,0.158,0.09,0.092,0.02,0.028,0.14,0.219,-1.3,0.6,-0.6,-0.05,-5.6,-0.3,-5.9,-0.6
"8","Byron Mullens","OSU",0.629,0.638,119.7,0.115,0.172,0.146,0.033,0.18,0.015,0.068,0.24,-7.2,1.6,109.5,96.4,13.2,222.4,21.8,"PF",20,"OKC",13,54,0.7,0.368,0,0,0.066,0.145,0.106,0.029,0.019,0,0.174,0.191,-0.2,0.1,-0.1,-0.077,-8.9,-1.6,-10.5,-0.1,"PF",21,"OKC",13,85,3.5,0.366,0,0.5,0.086,0.24,0.165,0,0.012,0.026,0.19,0.225,-0.3,0.1,-0.2,-0.113,-12.5,-4.7,-17.2,-0.3,"C",22,"CHA",65,1465,13,0.473,0.086,0.19,0.073,0.188,0.128,0.075,0.008,0.026,0.104,0.225,-0.4,0.6,0.2,0.007,-3.3,-1.7,-5,-1.1
"9","Chase Budinger","U of A",0.594,0.554,168,0.048,0.148,0.101,0.19,0.138,0.023,0.014,0.246,-0.5,1.4,120,105.3,14.8,471,22.9,"SF",21,"HOU",74,1488,14.1,0.545,0.441,0.154,0.028,0.146,0.085,0.097,0.012,0.005,0.074,0.194,1.9,1.2,3.1,0.1,0.3,-1.5,-1.1,0.3,"SF",22,"HOU",78,1738,14.2,0.534,0.418,0.21,0.034,0.15,0.092,0.115,0.012,0.007,0.085,0.199,2.2,1.2,3.4,0.095,0.6,-1.3,-0.7,0.6,"SF",23,"HOU",58,1298,14.9,0.556,0.465,0.149,0.034,0.162,0.097,0.093,0.012,0.004,0.099,0.195,2,1,3,0.111,1.2,-1.3,0,0.6
"10","DaJuan Summers","GU",0.598,0.564,157.2,0.053,0.116,0.087,0.098,0.186,0.024,0.025,0.258,-6.3,1.5,107.3,98.4,8.9,233.8,18.5,"SF",22,"DET",44,405,7.5,0.457,0.323,0.292,0.039,0.099,0.067,0.063,0.011,0.015,0.098,0.185,-0.1,0.1,0,0.002,-3.3,-2.5,-5.8,-0.4,"SF",23,"DET",22,199,4.4,0.476,0.304,0.29,0.012,0.064,0.037,0.016,0.008,0.004,0.143,0.213,-0.3,0,-0.3,-0.083,-5.5,-5,-10.5,-0.4,"SF",24,"NOH",15,209,9,0.493,0.246,0.138,0.046,0.084,0.066,0.081,0.018,0,0.104,0.174,0.1,0.1,0.2,0.049,-1.8,-1.7,-3.4,-0.1
"11","Danny Green","UNC",0.588,0.565,173.6,0.072,0.102,0.088,0.166,0.136,0.034,0.047,0.206,0.4,1.3,122.1,93.2,28.9,446.1,22.2,"SG",22,"CLE",20,115,12.3,0.48,0.564,0.154,0.087,0.089,0.088,0.067,0.027,0.02,0.107,0.189,0,0.2,0.2,0.083,-0.6,-0.1,-0.8,0,"SG",23,"SAS",8,92,13.2,0.586,0.543,0,0.039,0.148,0.095,0.036,0.011,0.008,0.125,0.2,0,0.1,0.1,0.076,-0.7,-2.3,-3,0,"SG",24,"SAS",66,1522,15.5,0.579,0.491,0.21,0.042,0.129,0.086,0.083,0.02,0.022,0.114,0.176,2.5,2,4.5,0.142,2,1.2,3.2,2
"12","Dante Cunningham","VILL",0.557,0.525,122.1,0.094,0.171,0.133,0.088,0.13,0.022,0.048,0.257,-4,1.3,112,94.1,17.9,441,22.4,"PF",22,"POR",63,707,14.3,0.517,0.009,0.224,0.094,0.187,0.14,0.033,0.019,0.025,0.06,0.168,0.9,1,1.9,0.129,-2.1,0.2,-1.9,0,"PF",23,"TOT",78,1637,10.7,0.483,0.028,0.131,0.069,0.139,0.103,0.043,0.018,0.022,0.093,0.157,0.3,1.7,2,0.06,-3.2,0.5,-2.8,-0.3,"PF",24,"MEM",64,1124,14.9,0.538,0.007,0.247,0.093,0.164,0.128,0.052,0.02,0.025,0.086,0.136,1.8,1.7,3.4,0.147,-0.8,1.6,0.8,0.8
"15","Darren Collison","UCLA",0.623,0.567,179.9,0.019,0.079,0.049,0.284,0.167,0.031,0.005,0.23,2.7,1.5,124.7,99.5,25.3,385.1,22.9,"PG",22,"NOH",76,2109,16.5,0.546,0.146,0.221,0.022,0.086,0.053,0.329,0.019,0.001,0.189,0.231,1.9,1.1,2.9,0.067,0.2,-1.9,-1.7,0.2,"PG",23,"IND",79,2360,15.6,0.534,0.143,0.267,0.019,0.086,0.053,0.289,0.019,0.004,0.166,0.219,2.1,2.2,4.3,0.087,0.2,-0.9,-0.7,0.8,"PG",24,"IND",60,1878,13.6,0.526,0.18,0.293,0.018,0.093,0.056,0.249,0.014,0.006,0.162,0.17,2.3,1.5,3.8,0.098,0.5,-0.8,-0.3,0.8
